Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;9;3;6;6;5;5;5;7;2;6;7
1000001;1A;0;8;2;5;0;4;5;2;7;1;4;2
1000002;1A;0;8;1;3;2;4;2;0;6;1;5;6
1000003;1A;8;8;0;3;3;5;1;2;5;1;5;5
1000004;1A;10;3;1;3;4;0;5;4;7;2;1;7
1000005;1A;3;6;3;0;5;5;4;3;6;2;4;1
1000006;1A;4;1;3;4;6;3;2;5;1;1;3;0
1000007;1A;4;5;0;4;5;2;0;1;5;0;5;5
1000008;1A;2;5;2;3;2;5;0;0;7;0;5;3
1000009;1A;3;9;0;1;2;1;1;0;5;2;1;7
1000010;1A;4;6;2;2;1;5;0;2;2;2;5;1
1000011;1A;3;2;2;5;2;3;1;5;6;2;2;2
1000012;1A;0;7;1;3;6;4;1;0;7;0;3;2
1000013;1A;6;3;2;6;1;1;3;2;1;1;5;6
1000014;1A;2;3;1;0;0;5;3;4;2;2;3;1
