Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;5;10;2;5;1;6;8;4;4;4;3;4;6;10;5;9;1;7;9;10;4;9;7
1000001;1A;2;4;6;0;3;0;3;3;4;1;4;1;3;3;0;4;8;1;4;3;8;1;5;4
1000002;1A;7;3;0;2;5;0;6;3;1;2;0;2;0;2;8;0;4;1;4;9;6;2;5;4
1000003;1A;7;4;7;1;5;1;3;0;4;4;0;1;2;5;8;5;2;1;2;4;4;1;3;1
1000004;1A;7;3;0;2;1;0;2;8;4;2;0;0;1;3;6;3;7;0;1;5;7;0;1;4
1000005;1A;1;2;7;2;3;1;6;6;3;4;3;0;0;6;5;0;1;1;5;3;2;2;0;6
1000006;1A;6;3;0;1;4;1;6;4;1;3;0;3;4;3;0;5;1;0;1;7;5;4;9;7
1000007;1A;7;1;0;0;3;0;4;3;3;2;0;1;2;6;4;0;1;1;7;0;9;1;2;7
1000008;1A;7;4;3;2;4;0;2;4;0;0;0;2;3;0;2;1;7;1;4;4;6;1;7;6
1000009;1A;3;4;3;1;5;1;3;5;1;2;3;2;4;6;9;5;1;1;6;0;9;4;5;6
1000010;1A;1;2;3;2;4;0;0;1;2;1;3;1;2;1;8;0;4;0;6;9;2;2;7;1
1000011;1A;7;1;7;2;1;1;3;6;4;2;0;0;3;4;6;1;4;1;4;5;2;1;9;2
1000012;1A;5;5;5;0;0;0;5;3;1;0;4;3;0;1;0;0;8;1;4;3;4;0;8;2
1000013;1A;3;1;9;0;5;1;1;7;1;3;3;3;0;0;3;1;4;1;6;4;2;4;2;1
1000014;1A;4;0;10;0;4;1;2;2;3;2;0;3;1;5;8;5;5;1;0;9;5;0;5;2
1000015;1A;0;3;4;2;2;0;4;4;4;4;2;0;4;0;4;3;0;0;0;9;3;4;2;5
1000016;1A;2;3;4;1;3;0;2;5;3;0;4;1;2;1;4;0;8;0;4;6;7;4;8;6
1000017;1A;1;3;0;0;5;0;2;3;3;2;4;0;3;3;1;3;6;1;0;2;6;1;7;6
1000018;1A;6;4;0;2;3;0;0;7;1;3;1;0;3;3;8;2;9;1;5;7;0;2;0;1
1000019;1A;2;2;9;1;5;1;5;0;2;4;0;3;4;4;0;2;4;1;7;2;2;4;2;5
1000020;1A;4;1;5;0;4;0;1;4;1;2;4;0;2;3;9;5;8;1;7;1;3;1;9;0
1000021;1A;0;5;0;2;5;0;5;4;1;3;0;1;3;2;0;4;1;1;1;7;3;4;5;7
1000022;1A;3;5;7;2;0;1;4;2;1;0;1;0;4;5;0;3;2;1;0;1;1;1;7;4
1000023;1A;4;0;10;1;1;1;4;6;4;3;1;0;2;1;10;0;8;1;6;3;5;1;1;6
1000024;1A;4;3;6;0;2;1;2;8;2;1;4;1;4;1;3;4;5;1;7;8;5;0;6;1
1000025;1A;2;5;8;0;0;1;4;8;3;4;4;1;0;4;5;3;9;0;0;7;0;0;5;1
1000026;1A;0;2;3;2;5;0;0;2;4;4;4;1;1;3;5;0;3;0;3;8;4;3;0;5
1000027;1A;1;0;10;1;5;1;1;3;4;0;2;3;4;5;6;5;8;1;1;5;0;1;6;0
1000028;1A;3;4;7;0;5;0;4;2;4;1;2;3;2;4;7;4;4;1;1;4;2;0;7;4
1000029;1A;6;4;1;2;2;1;0;4;0;2;2;0;2;0;8;0;9;1;6;7;3;0;2;4
1000030;1A;0;0;9;0;3;0;2;0;1;0;4;0;1;5;1;2;2;1;4;7;8;2;1;3
1000031;1A;3;3;6;2;4;0;0;0;1;1;4;0;3;4;0;4;8;0;4;6;9;2;3;6
