Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;1;5;10;6;2;5;9;5;4
1000001;1A;1;5;3;5;0;5;5;2;2
1000002;1A;0;3;6;4;0;5;5;1;0
1000003;1A;0;5;9;3;2;2;0;2;0
1000004;1A;1;2;5;1;0;1;7;1;2
1000005;1A;0;5;9;4;0;3;3;0;4
1000006;1A;0;5;7;5;1;1;8;5;3
1000007;1A;1;5;5;2;1;2;1;4;1
1000008;1A;1;1;5;1;1;3;3;5;0
1000009;1A;1;1;7;5;0;2;1;3;0
1000010;1A;1;2;9;2;2;5;7;0;1
1000011;1A;0;5;0;4;0;4;1;1;3
1000012;1A;1;0;9;5;0;0;7;4;2
1000013;1A;0;3;7;3;2;4;4;4;4
1000014;1A;1;5;5;3;2;1;5;2;1
1000015;1A;0;4;10;2;0;0;2;0;0
1000016;1A;1;4;8;0;0;4;2;0;4
1000017;1A;0;0;2;6;2;0;3;3;3
1000018;1A;1;0;10;2;1;3;5;2;4
1000019;1A;1;0;5;2;0;2;2;4;1
1000020;1A;0;5;1;5;0;3;7;4;2
1000021;1A;0;2;9;6;0;0;1;3;1
1000022;1A;0;4;6;4;2;5;5;3;2
1000023;1A;1;4;9;2;1;4;9;4;1
1000024;1A;0;3;7;6;2;3;4;5;2
1000025;1A;0;5;4;0;0;0;4;3;4
1000026;1A;0;5;8;4;1;3;9;0;2
1000027;1A;0;1;9;2;0;4;7;4;4
1000028;1A;0;5;9;6;1;1;7;0;4
1000029;1A;1;0;0;0;0;2;9;0;0
1000030;1A;1;3;2;3;0;2;7;0;3
1000031;1A;1;3;10;5;2;3;5;5;1
