Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;4;5;1;3;1;3;2;4;8
1000001;1A;3;3;1;2;1;2;1;4;0
1000002;1A;3;0;0;3;0;1;0;0;8
1000003;1A;4;2;0;3;1;0;2;4;3
1000004;1A;0;1;1;0;1;0;0;3;1
1000005;1A;2;5;1;0;1;0;1;1;5
1000006;1A;4;0;1;3;1;3;2;1;4
1000007;1A;2;3;0;2;1;1;0;2;1
1000008;1A;4;2;0;3;1;1;2;2;2
1000009;1A;1;4;1;1;1;3;1;1;5
1000010;1A;4;5;0;2;0;1;1;3;2
1000011;1A;1;4;1;3;1;1;2;0;2
1000012;1A;0;5;1;0;0;0;2;3;4
1000013;1A;2;1;0;1;0;2;1;4;8
1000014;1A;0;3;0;1;0;3;1;3;8
