Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;10;8;7
1000001;1A;5;7;2
1000002;1A;9;7;2
1000003;1A;6;0;4
1000004;1A;7;6;3
1000005;1A;9;2;7
1000006;1A;1;7;3
1000007;1A;5;6;2
1000008;1A;3;1;5
1000009;1A;8;8;1
1000010;1A;7;4;0
1000011;1A;3;7;0
1000012;1A;3;6;5
1000013;1A;2;2;2
1000014;1A;9;6;0
1000015;1A;1;1;1
1000016;1A;4;7;5
1000017;1A;9;8;3
1000018;1A;2;3;1
1000019;1A;4;3;1
1000020;1A;10;5;7
1000021;1A;5;6;1
1000022;1A;5;2;5
1000023;1A;1;2;3
1000024;1A;10;6;0
1000025;1A;7;5;4
1000026;1A;3;6;4
1000027;1A;4;5;5
