Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;6;10;8;9;4;9;10;5;7;7;9
1000001;1A;0;3;4;2;6;3;9;2;2;2;3;0
1000002;1A;0;1;5;2;4;4;6;2;3;2;5;6
1000003;1A;0;5;10;1;0;4;6;3;1;5;4;8
1000004;1A;0;3;9;7;8;0;6;1;2;3;2;4
1000005;1A;1;1;6;1;2;1;7;10;0;1;7;9
1000006;1A;1;6;5;5;8;2;0;8;0;2;5;8
1000007;1A;1;6;10;5;1;4;0;1;3;2;5;4
1000008;1A;1;4;7;6;9;3;6;7;1;2;5;3
1000009;1A;0;1;4;6;3;4;3;5;2;0;3;3
1000010;1A;0;5;10;4;8;4;0;5;5;4;3;6
1000011;1A;0;2;6;1;6;3;7;4;2;0;0;3
1000012;1A;0;2;4;1;5;4;3;0;4;2;2;1
1000013;1A;1;2;3;7;0;0;5;4;4;3;5;7
1000014;1A;0;0;9;1;0;4;4;9;4;2;0;2
1000015;1A;0;4;9;1;2;3;9;3;2;7;4;0
1000016;1A;0;5;0;0;4;2;6;7;2;4;3;0
1000017;1A;1;3;0;4;8;0;0;7;2;4;5;8
1000018;1A;0;0;1;4;2;2;6;1;0;3;1;3
1000019;1A;1;3;1;4;6;0;9;2;2;2;4;6
1000020;1A;1;4;3;1;5;0;9;10;1;5;2;0
1000021;1A;0;4;1;0;3;0;5;1;1;1;5;6
1000022;1A;0;6;3;1;0;0;7;7;4;6;3;6
1000023;1A;0;1;3;0;3;2;5;8;2;3;7;3
1000024;1A;1;3;5;6;7;4;8;8;3;3;6;2
1000025;1A;1;4;8;7;4;0;0;5;0;3;6;3
1000026;1A;0;5;8;2;6;3;4;5;1;2;2;5
1000027;1A;1;3;5;0;7;4;7;6;4;5;4;6
1000028;1A;1;0;6;5;8;1;7;7;5;0;2;6
1000029;1A;0;6;2;3;4;1;4;3;2;4;2;1
1000030;1A;0;6;2;6;8;1;1;9;1;4;1;4
1000031;1A;1;4;3;1;9;1;5;6;2;0;2;1
1000032;1A;0;1;1;8;9;2;7;2;5;3;6;7
1000033;1A;1;0;10;4;2;2;7;1;1;7;3;8
1000034;1A;1;2;2;7;4;4;8;3;2;0;2;6
