Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;1;3;9;4;2;1;5;10;2
1000001;1A;0;2;4;1;2;0;4;3;1
1000002;1A;1;1;3;4;0;1;1;6;0
1000003;1A;1;0;1;2;1;0;5;1;0
1000004;1A;0;3;1;1;2;1;5;2;1
1000005;1A;0;0;6;2;2;1;4;5;0
1000006;1A;0;2;2;2;2;1;5;6;1
1000007;1A;0;1;7;0;1;1;4;0;1
1000008;1A;1;0;7;2;1;1;0;3;2
1000009;1A;1;1;2;1;2;0;2;4;1
1000010;1A;1;1;4;2;0;0;3;6;2
1000011;1A;1;1;1;0;0;0;1;3;0
1000012;1A;0;2;7;4;1;0;1;7;1
1000013;1A;0;3;5;0;1;0;1;2;2
1000014;1A;0;3;0;0;0;1;1;0;2
1000015;1A;0;2;1;2;2;1;4;0;1
1000016;1A;1;2;6;2;2;0;1;4;0
1000017;1A;1;3;2;0;0;0;4;6;2
1000018;1A;0;3;1;3;0;0;3;10;0
