Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;10;7;7
1000001;1A;5;7;6
1000002;1A;5;2;2
1000003;1A;6;1;5
1000004;1A;1;1;3
1000005;1A;8;6;5
1000006;1A;5;3;3
1000007;1A;5;0;2
1000008;1A;8;7;0
1000009;1A;0;5;0
1000010;1A;9;0;4
1000011;1A;8;0;3
1000012;1A;1;0;5
1000013;1A;2;0;0
1000014;1A;5;0;2
1000015;1A;9;6;4
1000016;1A;9;2;5
1000017;1A;8;3;7
1000018;1A;2;1;5
1000019;1A;9;4;3
1000020;1A;6;4;3
1000021;1A;2;0;7
1000022;1A;9;2;0
1000023;1A;2;0;7
1000024;1A;6;5;1
1000025;1A;5;3;7
1000026;1A;6;7;1
1000027;1A;4;0;4
1000028;1A;3;5;1
1000029;1A;2;2;3
1000030;1A;10;0;6
1000031;1A;2;4;2
1000032;1A;0;1;5
1000033;1A;5;7;3
1000034;1A;1;7;2
1000035;1A;0;4;4
1000036;1A;5;2;0
1000037;1A;9;2;3
1000038;1A;9;3;7
1000039;1A;1;5;6
1000040;1A;4;7;0
1000041;1A;1;3;0
1000042;1A;2;6;4
1000043;1A;1;0;5
1000044;1A;2;1;1
1000045;1A;1;2;5
1000046;1A;4;2;1
1000047;1A;9;7;7
1000048;1A;6;2;6
