Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;4;10;7;5;5;7;9;8;3;9;4
1000001;1A;0;2;9;7;1;2;1;8;1;3;3;4
1000002;1A;0;4;6;7;1;5;2;2;8;3;6;2
1000003;1A;0;4;9;5;4;2;4;0;4;2;0;0
1000004;1A;0;1;7;4;3;0;1;6;7;0;9;2
1000005;1A;0;4;4;5;1;0;0;6;4;3;2;2
1000006;1A;0;2;5;3;2;4;2;7;2;1;3;0
1000007;1A;0;1;10;3;3;0;1;0;0;2;2;0
1000008;1A;0;1;9;7;0;2;1;3;1;3;7;4
1000009;1A;1;4;6;4;0;0;3;3;0;3;4;0
1000010;1A;0;4;10;3;5;5;5;4;0;2;0;0
1000011;1A;1;4;5;7;4;3;5;1;6;0;7;3
1000012;1A;1;3;4;0;1;2;0;8;0;0;8;4
1000013;1A;1;3;8;1;5;0;1;6;4;3;7;3
1000014;1A;0;4;8;6;3;1;7;6;4;1;9;2
1000015;1A;0;3;7;2;3;5;2;0;3;0;6;3
1000016;1A;0;4;5;5;2;4;0;4;0;3;9;1
1000017;1A;0;0;8;4;2;0;0;1;8;0;0;0
1000018;1A;0;2;10;1;3;5;6;5;6;3;7;1
1000019;1A;1;4;1;6;3;1;1;8;3;1;5;0
1000020;1A;0;3;7;1;2;2;0;8;8;0;9;1
1000021;1A;0;2;5;4;0;0;4;7;4;2;2;3
1000022;1A;1;3;3;2;2;2;4;1;0;1;4;0
