Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;5;5;5;2;5;8
1000001;1A;0;4;1;1;5;6
1000002;1A;0;5;0;0;1;8
1000003;1A;1;2;1;0;4;1
1000004;1A;0;1;5;2;2;7
1000005;1A;2;3;4;0;3;0
1000006;1A;1;1;3;0;4;5
1000007;1A;0;2;0;0;4;4
1000008;1A;2;1;2;1;4;0
1000009;1A;3;5;3;1;5;0
1000010;1A;0;0;3;0;2;3
1000011;1A;5;4;3;0;2;6
1000012;1A;0;1;5;1;3;6
1000013;1A;2;1;1;1;0;2
1000014;1A;3;1;1;1;5;8
1000015;1A;4;4;4;1;0;3
1000016;1A;1;4;2;1;4;2
1000017;1A;3;5;3;0;5;7
1000018;1A;2;3;1;1;3;4
1000019;1A;4;5;3;0;2;5
1000020;1A;3;3;4;2;2;4
1000021;1A;3;1;0;1;2;2
1000022;1A;1;2;2;0;1;5
1000023;1A;5;4;3;0;0;0
1000024;1A;1;1;4;1;4;7
1000025;1A;1;1;5;1;2;2
1000026;1A;2;2;3;0;3;0
