Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;3;6;8;10;4;6
1000001;1A;0;3;5;2;1;4
1000002;1A;2;5;2;3;0;2
1000003;1A;3;2;2;5;0;0
1000004;1A;1;3;2;2;1;6
1000005;1A;3;5;7;8;4;0
1000006;1A;0;1;4;8;1;6
1000007;1A;3;5;8;6;3;0
1000008;1A;3;2;0;6;3;0
1000009;1A;3;3;8;2;0;6
1000010;1A;0;0;7;1;3;6
1000011;1A;0;6;6;4;1;4
1000012;1A;1;6;5;9;0;4
1000013;1A;1;1;3;7;1;6
1000014;1A;2;5;6;1;4;6
1000015;1A;3;2;2;7;1;2
1000016;1A;2;1;5;10;4;4
1000017;1A;3;4;5;6;0;2
1000018;1A;0;1;1;9;1;0
1000019;1A;0;4;2;10;0;5
1000020;1A;1;2;2;10;2;0
1000021;1A;0;4;8;0;3;5
1000022;1A;0;3;2;6;0;5
1000023;1A;1;6;6;7;1;2
