Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;5;7;1;3;8;1;10;8;2;9;8
1000001;1A;0;2;6;0;2;1;1;5;5;2;5;0
1000002;1A;5;4;4;1;0;1;1;7;1;2;6;2
1000003;1A;1;3;1;0;1;5;0;9;6;1;0;6
1000004;1A;2;1;4;1;2;6;1;10;2;1;5;2
1000005;1A;7;1;4;0;1;2;0;0;3;0;6;3
1000006;1A;3;2;0;1;0;5;0;4;7;0;3;5
1000007;1A;7;1;0;0;0;6;0;10;6;1;3;5
1000008;1A;5;0;7;0;1;7;0;4;0;2;3;3
1000009;1A;3;1;3;0;0;5;0;1;1;1;7;3
1000010;1A;7;1;0;0;2;8;0;5;8;1;8;6
1000011;1A;4;2;2;1;2;7;1;5;5;0;1;8
1000012;1A;3;5;3;0;1;4;1;0;3;1;3;7
1000013;1A;4;4;6;0;2;1;1;2;0;0;3;8
1000014;1A;0;5;7;1;3;0;1;2;0;1;1;1
1000015;1A;3;4;3;1;0;4;0;5;6;2;5;4
1000016;1A;4;2;3;1;2;2;1;1;3;2;9;4
1000017;1A;6;4;4;0;3;8;0;1;5;1;1;2
1000018;1A;4;2;7;0;1;6;1;6;0;0;8;2
1000019;1A;6;0;3;1;3;3;0;0;0;0;7;7
1000020;1A;6;5;2;1;3;0;0;1;5;2;2;4
1000021;1A;4;1;1;1;0;5;0;10;3;2;1;3
1000022;1A;7;1;6;0;3;6;1;9;5;2;7;3
1000023;1A;2;3;3;0;3;8;0;7;6;2;5;2
1000024;1A;1;5;4;1;0;4;0;10;8;0;5;6
1000025;1A;4;2;1;0;3;2;0;10;6;0;3;4
1000026;1A;2;0;3;0;1;7;1;9;4;1;3;7
1000027;1A;7;0;2;0;1;0;1;3;5;0;3;1
1000028;1A;3;2;1;1;1;7;0;4;3;1;7;4
