Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;3;3;9;8;10;3;4;10;4;5;10;5;5;8
1000001;1A;6;2;2;4;4;2;1;3;5;3;5;4;2;3;5
1000002;1A;6;0;2;7;1;10;3;2;3;4;2;3;0;3;5
1000003;1A;4;0;0;1;7;4;0;4;0;3;1;10;4;1;2
1000004;1A;3;3;1;1;3;2;2;0;3;2;4;0;2;1;1
1000005;1A;3;2;3;2;7;7;1;4;2;0;4;4;3;2;0
1000006;1A;7;1;3;1;5;5;2;1;5;3;3;2;1;5;8
1000007;1A;3;0;3;6;8;0;1;2;6;4;5;2;2;5;4
1000008;1A;3;2;3;6;2;3;1;4;4;2;3;2;2;3;2
1000009;1A;7;2;0;7;8;9;2;0;10;4;3;0;4;5;7
1000010;1A;8;3;2;9;2;6;2;3;2;0;3;3;0;1;3
1000011;1A;1;1;3;7;6;5;0;0;10;3;3;8;2;2;6
1000012;1A;5;1;2;1;5;7;3;3;5;2;0;6;5;4;1
1000013;1A;0;1;2;6;0;0;0;4;2;1;3;5;5;1;8
1000014;1A;0;3;2;7;2;0;0;4;10;0;4;0;2;5;2
1000015;1A;1;0;0;7;7;2;3;2;3;4;5;2;0;4;2
1000016;1A;3;3;3;7;4;2;3;0;6;1;3;7;5;0;1
1000017;1A;2;3;3;2;6;0;3;2;5;0;0;5;1;4;3
1000018;1A;7;0;2;8;5;1;1;1;8;1;4;4;0;5;7
1000019;1A;0;2;1;4;0;0;3;0;0;4;2;3;2;2;3
1000020;1A;1;3;1;0;3;5;1;4;5;0;3;0;4;1;8
1000021;1A;8;1;2;8;8;0;3;3;10;3;1;0;5;4;8
1000022;1A;6;0;0;6;1;1;1;3;1;3;0;10;0;4;6
1000023;1A;2;0;3;1;7;3;1;1;5;3;2;10;4;4;1
1000024;1A;4;1;0;4;4;7;2;4;6;0;5;1;0;1;6
