Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;8;10;7
1000001;1A;6;5;4
1000002;1A;1;8;4
1000003;1A;6;0;5
1000004;1A;2;4;7
1000005;1A;4;3;5
1000006;1A;3;2;2
1000007;1A;1;4;4
1000008;1A;3;0;6
1000009;1A;3;2;1
1000010;1A;3;0;0
1000011;1A;3;5;4
1000012;1A;0;4;5
1000013;1A;6;2;6
1000014;1A;8;6;2
1000015;1A;5;2;7
1000016;1A;0;4;6
1000017;1A;7;0;7
1000018;1A;1;5;1
1000019;1A;1;9;1
1000020;1A;4;10;0
1000021;1A;8;8;0
1000022;1A;6;6;1
1000023;1A;6;5;0
1000024;1A;8;10;1
1000025;1A;7;9;6
1000026;1A;8;8;0
1000027;1A;6;7;1
1000028;1A;5;10;4
1000029;1A;2;0;3
1000030;1A;3;7;0
1000031;1A;4;0;1
1000032;1A;6;10;2
1000033;1A;1;3;5
