Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;9;4;6;1;7;1;10;2;6;5;3;7;6;1
1000001;1A;8;0;2;4;0;5;0;10;1;6;2;2;2;4;1
1000002;1A;4;1;3;1;1;7;1;3;2;4;5;0;1;5;1
1000003;1A;10;2;4;1;1;3;0;2;2;2;5;1;3;6;0
1000004;1A;6;3;2;1;0;2;0;9;2;6;1;3;5;3;1
1000005;1A;6;5;2;2;0;3;0;4;1;0;3;3;4;4;0
1000006;1A;3;9;1;4;0;1;0;8;2;2;4;2;4;3;1
1000007;1A;10;1;4;5;0;1;1;8;1;6;4;0;0;2;0
1000008;1A;3;5;3;4;0;3;0;10;0;3;1;3;7;5;0
1000009;1A;6;0;0;3;1;3;0;0;1;5;0;1;0;0;1
1000010;1A;4;1;2;4;0;4;1;7;0;0;1;3;7;0;0
1000011;1A;3;9;1;1;0;4;1;5;2;5;3;2;5;5;1
1000012;1A;9;6;0;4;1;4;0;10;1;4;4;3;4;1;0
1000013;1A;7;2;2;6;1;7;0;0;0;5;5;3;1;3;1
1000014;1A;3;1;4;3;0;7;0;6;0;5;3;2;6;4;1
1000015;1A;3;0;2;3;0;2;0;4;1;6;3;1;7;2;1
1000016;1A;1;9;0;4;0;2;1;2;1;1;0;0;4;1;0
1000017;1A;4;2;3;0;1;2;0;0;2;1;1;0;1;3;0
1000018;1A;4;5;2;4;0;0;0;5;1;3;3;3;7;1;1
1000019;1A;8;2;0;5;0;0;1;10;2;6;4;3;7;4;1
1000020;1A;5;3;0;5;1;6;0;1;2;0;1;0;4;0;0
