Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;7;2;5;10;3;2;4;4;3;2;6;7;2;1;7;9;3;3;1;7;1;7;4
1000001;1A;3;4;0;2;5;3;2;2;1;2;0;0;5;2;1;5;1;2;0;1;5;1;2;2
1000002;1A;1;0;0;4;4;2;0;3;4;3;0;4;6;2;0;5;6;1;3;1;5;1;5;2
1000003;1A;7;5;2;3;0;0;1;4;4;0;2;0;5;2;1;6;2;2;0;1;2;1;4;0
1000004;1A;0;6;1;2;10;3;1;2;0;1;1;2;1;1;0;4;4;3;3;0;6;0;0;3
1000005;1A;2;0;2;3;3;3;2;4;4;3;0;6;3;1;0;7;3;3;2;0;1;0;0;0
1000006;1A;3;6;2;2;7;0;2;2;4;2;0;5;5;2;0;6;2;2;0;1;0;0;3;2
1000007;1A;1;2;2;3;9;1;0;2;4;3;0;5;5;1;0;0;3;1;2;1;3;0;2;0
1000008;1A;4;1;1;1;2;2;2;1;0;3;1;0;1;1;1;1;7;1;3;0;1;0;4;3
1000009;1A;1;5;2;0;4;2;2;0;4;0;0;4;4;2;1;5;1;0;2;1;1;1;6;2
1000010;1A;2;2;2;0;9;0;2;3;3;1;0;0;7;0;1;7;1;3;3;0;1;1;2;2
1000011;1A;2;0;0;5;4;3;1;4;4;2;2;5;2;2;1;2;6;2;0;1;3;0;0;2
1000012;1A;7;4;0;2;10;3;2;4;3;1;0;0;1;2;0;2;4;0;2;0;1;0;0;2
1000013;1A;4;7;2;2;10;1;1;1;2;3;1;2;2;2;1;4;3;1;0;0;1;0;5;4
1000014;1A;3;0;0;0;9;1;2;2;4;3;0;2;6;2;0;5;0;3;1;0;4;1;5;2
1000015;1A;7;3;2;1;4;0;1;4;0;3;1;6;7;1;0;6;0;2;2;0;5;0;2;1
1000016;1A;4;3;1;1;10;2;1;1;2;1;0;0;5;2;0;4;3;2;3;0;5;1;0;2
