Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;6;9;8;5;7;4;6;10;4;8;9
1000001;1A;4;2;7;4;2;3;0;4;3;1;4;6
1000002;1A;0;2;7;6;1;6;0;2;5;0;4;8
1000003;1A;10;0;9;0;4;5;4;5;7;2;1;0
1000004;1A;9;2;0;4;3;3;0;1;8;2;2;4
1000005;1A;8;0;5;8;2;1;0;4;10;0;2;0
1000006;1A;4;5;1;3;2;7;4;4;1;2;7;9
1000007;1A;3;3;8;1;5;5;2;3;0;0;3;0
1000008;1A;6;6;3;8;0;2;3;5;7;1;5;4
1000009;1A;7;0;2;2;4;0;2;4;4;3;7;9
1000010;1A;4;0;2;7;3;3;1;6;1;3;8;7
1000011;1A;2;3;4;1;4;1;3;1;10;1;8;0
1000012;1A;5;5;6;3;4;0;0;5;10;2;4;2
1000013;1A;7;4;7;6;2;7;0;5;10;4;0;1
1000014;1A;2;0;9;8;3;6;2;0;6;4;4;6
1000015;1A;8;2;8;1;0;7;4;4;1;1;1;7
1000016;1A;1;6;3;1;2;5;4;5;9;1;7;4
1000017;1A;10;3;8;7;3;6;1;2;5;1;7;7
1000018;1A;9;4;1;4;4;5;0;3;9;1;8;5
1000019;1A;8;0;8;6;4;1;3;2;5;3;3;4
1000020;1A;6;6;0;1;0;2;0;5;3;4;3;4
1000021;1A;10;1;7;7;2;7;2;5;6;3;0;0
1000022;1A;10;4;8;5;4;1;4;5;1;0;8;2
1000023;1A;1;4;8;7;0;2;4;1;10;3;7;3
1000024;1A;1;3;7;6;0;6;3;5;6;2;1;9
1000025;1A;9;5;5;8;4;5;3;6;4;0;1;5
1000026;1A;9;5;5;8;2;7;2;4;1;4;0;8
1000027;1A;10;2;0;0;5;2;2;4;10;3;6;6
1000028;1A;6;2;3;5;2;2;1;2;3;3;0;6
