Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;10;9;10;10;8;8
1000001;1A;9;3;4;4;7;6
1000002;1A;4;1;1;4;3;6
1000003;1A;0;4;10;2;3;6
1000004;1A;2;5;0;0;4;8
1000005;1A;7;5;3;7;3;6
1000006;1A;8;8;7;9;0;1
1000007;1A;7;5;5;2;6;5
1000008;1A;0;9;5;7;6;8
1000009;1A;2;5;10;3;2;0
1000010;1A;2;2;3;8;2;6
1000011;1A;2;0;6;4;0;3
1000012;1A;4;9;8;3;1;5
1000013;1A;2;3;0;0;5;2
1000014;1A;9;6;7;7;4;3
1000015;1A;7;1;10;4;0;1
1000016;1A;9;7;1;3;8;6
1000017;1A;8;2;8;3;4;5
1000018;1A;0;8;8;9;2;2
1000019;1A;2;8;7;4;0;6
1000020;1A;10;7;7;1;4;4
1000021;1A;10;0;9;0;1;8
1000022;1A;3;8;7;4;2;5
1000023;1A;2;1;8;4;2;2
1000024;1A;6;8;5;1;1;2
1000025;1A;2;8;7;8;2;7
1000026;1A;4;3;3;2;5;4
1000027;1A;1;3;0;4;6;4
1000028;1A;9;6;6;6;0;1
1000029;1A;6;3;9;9;8;8
1000030;1A;2;7;7;6;7;2
1000031;1A;6;3;0;7;5;2
1000032;1A;3;8;5;5;5;8
1000033;1A;4;2;0;5;6;2
1000034;1A;9;5;0;5;1;3
1000035;1A;5;8;4;4;1;4
1000036;1A;6;9;5;1;3;7
1000037;1A;2;9;3;1;8;8
1000038;1A;7;5;7;7;6;0
1000039;1A;1;2;4;4;3;2
1000040;1A;10;6;1;4;8;0
1000041;1A;8;0;5;2;4;7
1000042;1A;2;7;7;5;5;0
1000043;1A;7;2;5;1;2;1
1000044;1A;0;3;3;5;3;0
