Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;9;5;7;2;5;4;5;6;4;9;6;2;2;4;1;1;7
1000001;1A;0;3;3;3;0;2;0;2;0;1;3;3;2;2;0;1;0;6
1000002;1A;3;4;0;7;2;0;4;2;1;4;7;5;1;1;3;1;1;7
1000003;1A;4;6;2;3;1;2;3;0;2;0;3;2;0;0;3;1;1;5
1000004;1A;5;8;5;5;0;1;2;0;4;1;7;0;2;1;3;1;1;6
1000005;1A;6;6;2;3;0;5;1;2;5;0;4;1;1;1;4;0;0;2
1000006;1A;0;4;4;0;2;0;4;2;4;2;2;0;2;1;2;1;0;3
1000007;1A;7;2;5;3;1;5;4;4;5;1;8;1;2;0;0;1;1;1
1000008;1A;7;1;1;3;0;2;3;2;4;0;8;5;1;1;4;1;1;7
1000009;1A;2;6;5;7;0;4;0;3;0;0;0;5;0;2;0;1;0;3
1000010;1A;7;1;2;6;2;5;1;5;6;4;3;3;2;0;4;1;1;1
1000011;1A;6;3;5;6;0;4;2;2;4;2;7;4;0;0;0;0;0;0
1000012;1A;8;1;1;2;0;4;4;1;4;1;8;6;0;0;4;1;0;1
1000013;1A;6;0;5;4;2;4;3;1;1;4;2;2;2;2;4;0;0;5
1000014;1A;7;7;5;6;0;5;3;4;6;1;3;4;0;1;3;1;0;2
1000015;1A;4;3;0;6;1;4;0;5;2;0;6;5;0;2;2;0;0;4
