Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;10;4;4;10;2;6;10;9;2;1;1;7;10;7;5;10;2
1000001;1A;9;1;4;1;8;0;6;6;8;1;0;0;5;3;0;3;5;2
1000002;1A;9;10;1;1;5;0;6;4;9;0;1;0;1;5;4;4;6;1
1000003;1A;0;10;1;1;0;2;6;6;1;1;0;0;1;1;7;1;3;2
1000004;1A;3;6;1;0;10;1;5;3;9;2;1;0;4;3;3;3;3;0
1000005;1A;2;2;1;4;3;0;4;10;2;0;0;0;1;2;4;0;8;1
1000006;1A;3;7;3;0;0;1;6;2;8;0;0;1;1;0;5;4;9;0
1000007;1A;1;8;2;0;8;2;5;0;1;2;0;0;0;9;3;3;6;2
1000008;1A;7;4;1;4;2;1;1;4;4;2;1;1;6;10;4;1;4;2
1000009;1A;5;5;4;4;3;0;1;6;8;0;0;1;2;6;4;4;6;2
1000010;1A;8;1;0;1;3;2;1;10;1;1;0;1;3;8;0;3;6;0
1000011;1A;7;6;1;0;9;0;0;10;7;2;0;0;6;1;0;1;2;2
1000012;1A;0;3;2;4;4;0;3;5;9;1;0;0;4;2;0;3;0;1
1000013;1A;6;0;2;2;4;1;5;4;2;1;0;0;4;4;5;1;9;1
1000014;1A;5;1;1;4;4;2;6;10;4;1;0;1;0;5;2;4;9;0
1000015;1A;5;2;1;4;3;2;5;3;9;1;0;1;5;9;1;1;1;2
1000016;1A;0;7;0;3;4;2;4;9;9;0;1;1;6;9;4;0;1;1
1000017;1A;0;2;3;1;7;2;6;10;0;1;0;1;3;6;6;3;5;0
1000018;1A;7;4;1;4;10;1;6;6;7;2;0;0;1;6;2;4;8;0
1000019;1A;9;8;2;4;1;1;1;7;0;2;0;0;0;9;2;0;9;1
1000020;1A;9;9;4;0;5;0;0;9;8;2;0;1;2;2;7;2;7;1
1000021;1A;4;4;2;2;3;0;3;6;8;0;0;1;4;10;4;2;10;1
1000022;1A;7;4;3;0;2;1;2;8;4;0;1;1;2;5;0;2;7;0
1000023;1A;9;2;1;1;6;1;4;0;7;1;0;1;2;1;0;5;4;2
1000024;1A;7;6;2;4;4;2;0;0;3;1;1;1;5;10;2;0;7;1
1000025;1A;6;6;0;4;9;1;1;8;5;2;1;0;7;8;7;3;8;1
1000026;1A;0;10;0;0;8;2;2;4;2;2;0;1;3;9;0;3;2;2
1000027;1A;2;9;3;0;0;0;5;0;9;0;1;1;6;1;4;0;4;0
1000028;1A;7;9;0;3;1;0;5;7;9;2;0;0;7;8;4;4;9;1
1000029;1A;5;9;4;3;7;2;1;8;6;0;1;0;0;6;4;3;9;2
1000030;1A;8;6;1;3;8;2;3;7;1;0;1;1;3;0;7;1;2;0
1000031;1A;9;8;4;0;3;1;2;1;1;1;1;0;2;1;6;2;2;2
1000032;1A;7;7;4;2;3;2;1;1;5;0;0;1;0;2;7;5;4;0
1000033;1A;0;0;1;3;7;1;6;3;4;1;0;0;7;6;4;5;1;1
1000034;1A;9;2;2;4;0;2;1;0;5;1;0;0;5;5;4;4;7;1
1000035;1A;5;5;0;4;8;1;2;7;1;0;1;1;4;8;7;2;4;0
1000036;1A;9;2;4;3;10;0;6;6;5;2;1;1;0;6;0;2;3;0
1000037;1A;4;2;0;4;4;0;1;6;5;0;0;1;2;4;5;2;0;2
1000038;1A;6;3;0;1;5;0;5;3;3;2;0;1;6;2;2;5;7;2
1000039;1A;9;0;4;0;5;0;5;2;7;2;1;1;4;6;3;0;1;0
1000040;1A;9;3;4;1;10;0;3;4;4;0;0;0;3;9;3;1;1;1
1000041;1A;0;1;0;3;4;0;5;9;8;1;1;0;6;0;4;5;8;1
1000042;1A;1;4;1;2;2;1;1;7;0;0;1;1;4;0;6;3;8;1
1000043;1A;7;5;0;0;7;1;6;2;8;2;0;1;2;2;2;1;4;2
1000044;1A;0;6;4;1;6;0;4;4;5;2;1;0;6;2;4;2;6;2
1000045;1A;7;4;4;2;10;2;4;7;7;2;0;1;3;6;3;3;1;2
1000046;1A;1;1;3;4;4;1;2;4;8;2;0;0;3;9;7;4;4;0
