Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;1;1;7;8;5;1;10;4;8;5;1;6;8;10;9;3;5
1000001;1A;3;0;0;7;4;1;1;5;3;5;0;1;2;8;5;8;2;1
1000002;1A;1;0;0;6;2;4;0;4;0;0;0;1;3;5;7;1;3;1
1000003;1A;2;0;0;3;7;1;0;4;0;8;1;0;4;2;4;5;1;5
1000004;1A;4;0;1;4;8;5;0;2;2;6;3;1;6;5;9;9;1;2
1000005;1A;0;1;0;4;4;2;1;1;2;6;1;1;4;3;8;4;0;1
1000006;1A;4;0;1;7;4;1;0;8;3;5;1;0;6;2;3;0;3;0
1000007;1A;4;1;0;3;4;4;0;7;4;6;3;0;6;3;6;8;1;1
1000008;1A;2;0;1;4;7;5;1;7;3;5;5;1;0;6;8;2;3;1
1000009;1A;3;1;1;1;8;1;0;1;0;4;0;1;0;4;9;8;0;0
1000010;1A;3;1;1;6;5;1;0;7;0;2;3;0;6;8;7;2;2;1
1000011;1A;3;1;0;5;7;1;1;4;4;7;2;1;3;2;5;6;2;0
1000012;1A;3;0;1;2;4;3;1;0;4;6;0;1;3;2;3;0;2;1
1000013;1A;0;0;1;1;0;0;0;1;3;3;3;0;4;1;6;7;3;3
1000014;1A;2;1;1;6;5;2;0;9;4;0;4;1;1;3;9;0;1;1
1000015;1A;4;0;1;7;6;2;1;5;1;4;2;0;2;4;1;1;2;3
1000016;1A;4;1;1;6;5;1;0;10;1;7;1;0;2;6;0;2;2;0
1000017;1A;2;1;0;6;8;3;1;7;2;8;2;0;0;1;5;9;0;4
1000018;1A;3;0;1;3;4;4;1;1;1;3;2;0;5;0;8;8;2;5
1000019;1A;0;1;0;5;3;3;0;8;0;8;1;1;3;0;2;1;1;5
1000020;1A;1;0;1;0;6;0;0;3;0;5;4;1;2;6;0;1;2;4
1000021;1A;3;0;1;7;5;5;0;0;0;3;4;1;5;8;1;2;0;0
1000022;1A;3;0;1;0;7;3;0;6;1;0;5;0;6;4;8;8;0;2
1000023;1A;1;0;0;4;0;1;0;5;4;6;5;0;2;7;10;5;3;5
1000024;1A;0;0;1;5;5;1;1;8;0;1;2;1;0;3;10;4;0;1
1000025;1A;4;0;0;0;7;2;0;2;1;3;1;1;4;8;5;5;0;0
1000026;1A;1;0;1;0;4;3;1;2;1;3;0;1;0;4;10;1;1;0
1000027;1A;0;0;1;2;0;1;0;0;4;2;0;1;2;7;10;7;0;5
1000028;1A;0;1;0;4;7;4;1;6;4;2;0;1;4;4;1;1;2;3
