Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;5;4;7;8;9;1;9;10;2;8;10;3;3;2;8;10;9
1000001;1A;2;1;4;2;3;4;1;3;5;1;5;7;0;2;0;2;3;7
1000002;1A;3;3;0;1;8;8;0;8;1;2;3;1;1;2;1;8;0;1
1000003;1A;6;5;2;7;7;7;0;7;2;1;2;7;3;1;1;1;2;9
1000004;1A;6;2;3;3;8;6;0;7;3;0;8;9;1;0;1;7;3;3
1000005;1A;8;0;0;5;5;8;0;7;2;1;8;9;2;3;2;5;8;3
1000006;1A;6;2;1;6;1;7;0;5;6;1;3;1;1;3;1;4;2;4
1000007;1A;4;0;1;5;7;1;0;3;2;2;4;7;2;0;2;6;4;0
1000008;1A;6;0;0;2;7;4;0;9;0;0;2;5;0;3;1;3;3;7
1000009;1A;6;1;0;2;6;2;1;6;5;0;3;2;2;0;1;2;8;8
1000010;1A;6;1;0;4;6;2;1;2;9;2;6;5;3;3;0;6;5;6
1000011;1A;6;4;3;2;4;5;1;0;8;0;6;10;0;2;0;3;4;8
1000012;1A;4;2;1;3;7;8;1;5;6;0;0;6;2;2;1;4;7;4
1000013;1A;2;1;4;6;3;3;0;1;0;0;3;9;2;0;1;4;0;7
1000014;1A;0;0;0;4;0;7;1;1;5;0;4;4;3;3;2;7;6;7
1000015;1A;6;5;4;3;8;8;0;0;9;1;3;2;1;2;0;3;4;5
1000016;1A;3;3;3;0;5;1;0;4;1;0;1;10;2;1;0;5;10;5
1000017;1A;5;5;0;4;3;6;1;1;2;1;5;9;2;1;2;8;5;0
1000018;1A;7;1;2;3;8;9;1;2;6;0;7;10;3;1;0;8;10;6
1000019;1A;0;0;0;1;6;8;0;9;8;2;1;7;2;2;1;8;6;5
1000020;1A;1;4;3;6;5;9;0;9;4;1;6;5;3;2;0;8;5;2
