Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;1;9;1;6;5;9;10;3;9;7;5;6;2;2;10;8;2
1000001;1A;4;0;6;1;6;2;0;10;3;7;2;0;4;0;2;8;1;1
1000002;1A;8;0;4;1;5;0;2;5;2;2;5;2;0;0;1;10;8;1
1000003;1A;9;1;2;0;5;3;5;10;0;2;5;4;3;1;1;2;3;0
1000004;1A;5;0;7;0;4;2;8;3;0;0;1;3;3;0;0;1;5;2
1000005;1A;7;0;4;0;6;5;9;6;3;7;4;5;3;1;1;4;8;2
1000006;1A;6;0;6;0;1;2;6;9;3;7;6;1;6;1;1;10;1;1
1000007;1A;2;1;5;0;0;0;3;7;3;3;5;3;1;0;0;8;7;2
1000008;1A;1;1;4;0;2;1;6;4;3;2;4;2;5;2;2;0;5;0
1000009;1A;9;0;2;0;3;0;4;10;1;7;1;1;4;0;1;0;2;2
1000010;1A;6;0;8;1;4;3;5;3;2;4;3;2;1;0;2;4;7;1
1000011;1A;5;1;0;0;2;3;1;6;1;5;7;2;5;1;1;6;4;1
1000012;1A;0;1;7;0;3;3;9;3;0;0;4;4;2;2;1;1;0;0
1000013;1A;3;0;2;0;2;5;6;7;3;0;7;1;5;2;2;10;3;0
1000014;1A;2;1;5;1;0;3;5;6;2;1;0;4;3;0;0;8;4;2
