Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;5;2;4;10;7;6;10;3;7;7;5;7;5;1;1;6;7;10;7;6;1;2;7;10;5;9
1000001;1A;1;1;0;0;9;0;3;9;3;3;3;5;0;5;1;0;5;2;4;2;4;0;2;4;9;0;9
1000002;1A;0;0;2;1;9;4;6;2;2;4;0;0;1;5;1;1;0;3;3;5;0;0;1;6;9;5;4
1000003;1A;0;0;2;3;10;2;4;2;0;2;7;3;5;0;0;1;3;3;9;5;0;1;1;5;6;0;4
1000004;1A;1;3;0;3;0;5;5;4;2;7;4;5;2;1;0;0;5;7;5;0;2;0;1;7;0;3;1
1000005;1A;0;4;0;1;3;0;3;6;0;4;2;1;3;0;1;0;1;6;9;4;3;1;0;1;9;1;9
1000006;1A;1;3;2;1;6;4;3;7;2;7;5;3;4;4;1;0;0;6;1;3;3;1;2;0;3;3;7
1000007;1A;1;3;2;0;3;5;5;4;0;2;3;1;1;2;0;1;3;6;9;6;1;0;2;1;0;3;6
1000008;1A;0;5;1;1;2;7;3;9;3;5;0;4;4;1;0;1;1;4;2;6;2;0;1;1;9;5;8
1000009;1A;0;0;0;2;0;4;4;0;2;7;4;4;7;2;0;0;1;2;5;6;6;1;0;7;6;2;7
1000010;1A;0;3;1;3;9;2;6;5;3;0;3;4;4;4;1;0;6;0;2;4;4;1;1;3;9;4;6
1000011;1A;0;5;0;4;8;4;1;0;3;7;5;3;4;2;1;0;2;1;3;1;3;1;2;7;5;5;4
1000012;1A;0;3;1;2;4;0;4;4;1;2;0;1;4;0;1;0;4;1;6;0;2;1;2;7;2;3;0
1000013;1A;1;2;1;1;0;3;6;5;0;1;1;2;2;4;0;1;3;4;3;1;5;1;1;7;4;2;2
1000014;1A;0;3;0;3;6;6;3;8;2;7;7;0;6;3;1;1;3;7;2;5;2;1;0;5;8;1;4
1000015;1A;0;1;0;0;4;2;5;5;1;4;7;1;0;0;0;1;6;0;5;7;1;0;1;4;1;0;1
1000016;1A;1;2;0;4;7;5;5;4;1;6;2;4;1;5;0;1;0;7;6;6;3;1;2;3;2;2;0
1000017;1A;1;5;2;0;7;1;1;4;0;3;5;1;1;4;1;1;1;2;9;7;1;1;0;4;1;0;8
