Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;4;1;9;4;10;1;8;6;1;4;9;3;8;3
1000001;1A;2;1;0;9;2;7;1;8;5;1;2;9;1;7;1
1000002;1A;3;1;1;2;2;1;0;7;5;1;1;9;2;0;0
1000003;1A;0;4;0;3;2;8;0;0;6;1;0;5;2;0;1
1000004;1A;2;4;0;5;2;5;1;2;6;0;3;7;0;8;3
1000005;1A;2;1;0;5;1;1;0;0;1;0;4;0;2;7;0
1000006;1A;1;0;1;8;4;6;1;1;4;0;2;8;1;7;2
1000007;1A;0;3;1;4;0;9;0;4;5;0;3;9;0;2;2
1000008;1A;4;4;1;3;2;6;0;0;3;1;1;5;0;2;1
1000009;1A;7;3;0;0;1;8;0;6;3;1;2;5;2;0;1
1000010;1A;4;4;1;6;4;0;1;6;6;1;2;0;2;6;2
1000011;1A;5;3;0;9;1;6;1;4;4;0;4;2;2;0;2
1000012;1A;1;0;1;6;0;7;0;0;0;0;4;4;0;3;0
1000013;1A;5;3;1;8;4;2;0;6;1;1;1;4;2;3;1
1000014;1A;2;1;1;5;3;3;0;8;4;0;4;1;1;6;2
1000015;1A;5;4;1;2;3;6;0;5;5;0;1;5;0;6;2
1000016;1A;6;4;1;9;2;3;0;6;3;0;2;1;0;0;1
1000017;1A;4;2;1;5;2;6;1;0;6;1;4;8;0;6;3
