Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;6;1;4;6;3;6;2;4;4;3;8;8;9;4;6;5;8
1000001;1A;4;3;0;3;5;3;2;0;1;3;3;0;4;3;4;3;4;1
1000002;1A;1;5;1;0;5;0;6;1;0;4;2;0;6;4;2;1;5;2
1000003;1A;6;1;0;0;0;2;1;1;2;0;2;8;5;9;2;0;5;7
1000004;1A;1;3;1;4;1;0;4;2;2;3;3;1;2;0;0;1;3;5
1000005;1A;3;1;0;4;3;2;4;1;3;1;3;4;2;0;0;6;0;2
1000006;1A;2;1;1;3;1;2;1;0;3;1;1;6;4;3;0;2;1;1
1000007;1A;0;1;1;4;2;2;0;2;0;3;0;4;8;2;2;4;3;4
1000008;1A;0;0;0;2;6;0;0;2;1;3;3;0;2;1;4;1;3;5
1000009;1A;5;6;1;3;1;0;3;2;2;3;2;6;1;5;3;0;1;4
1000010;1A;5;5;0;1;2;3;1;0;3;4;1;7;8;4;1;0;1;2
1000011;1A;1;0;1;4;0;3;5;2;0;1;3;1;2;8;2;5;4;3
1000012;1A;1;1;1;3;4;1;6;1;2;1;0;3;4;2;1;0;4;6
1000013;1A;5;0;1;3;4;3;6;2;3;3;3;4;5;3;2;2;1;6
1000014;1A;0;3;0;4;0;3;6;0;3;0;3;2;8;2;0;5;5;6
1000015;1A;0;0;0;0;3;0;6;0;0;1;0;6;4;6;4;5;3;1
1000016;1A;1;1;0;3;3;0;6;0;0;3;0;5;5;0;0;0;1;3
1000017;1A;6;4;0;3;3;2;3;0;3;2;2;8;2;8;2;4;5;2
1000018;1A;2;5;1;4;5;2;5;2;3;4;2;2;7;5;2;1;5;7
1000019;1A;2;0;1;4;5;1;6;0;2;0;0;5;0;1;0;6;2;4
1000020;1A;0;0;1;0;6;3;2;0;4;4;3;2;3;6;3;1;3;5
1000021;1A;0;4;1;2;6;1;6;2;1;2;0;2;8;7;3;6;2;2
1000022;1A;0;3;0;0;6;1;5;1;4;4;1;2;0;0;0;0;5;2
