Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;10;2;1;3;1;1;7;5;7;7;5
1000001;1A;4;8;2;0;2;1;0;6;2;4;2;5
1000002;1A;7;9;1;1;0;1;0;2;2;1;2;5
1000003;1A;0;2;0;0;3;0;1;2;0;6;1;4
1000004;1A;7;0;2;0;3;1;0;6;0;3;2;0
1000005;1A;2;0;1;1;1;0;1;2;0;1;2;2
1000006;1A;8;9;1;1;2;1;0;6;4;5;6;2
1000007;1A;6;10;1;1;2;1;1;3;1;7;1;2
1000008;1A;0;7;0;0;1;0;1;1;2;1;5;5
1000009;1A;4;10;0;1;1;1;1;1;0;6;7;5
1000010;1A;5;5;0;0;0;1;0;0;2;3;4;1
1000011;1A;8;9;2;1;1;1;0;3;0;5;4;1
1000012;1A;6;7;2;1;1;0;0;7;5;3;1;3
1000013;1A;6;4;1;1;0;1;0;0;5;1;4;3
1000014;1A;3;4;2;1;2;0;0;5;3;6;7;1
1000015;1A;1;1;2;0;3;0;0;0;5;2;5;4
1000016;1A;5;7;1;1;2;0;1;5;5;4;7;3
1000017;1A;3;0;1;1;3;0;1;7;0;6;1;1
1000018;1A;7;2;1;1;2;0;1;3;2;3;4;0
1000019;1A;4;1;2;1;3;0;0;0;0;6;3;4
1000020;1A;4;10;1;0;2;0;0;6;5;1;4;5
1000021;1A;5;9;1;1;1;0;0;3;5;1;0;1
1000022;1A;7;6;0;1;3;0;0;5;0;2;4;5
1000023;1A;6;6;1;1;1;1;1;5;2;5;0;4
1000024;1A;2;3;1;1;1;0;1;6;0;0;3;1
1000025;1A;0;3;0;1;1;1;1;4;5;2;7;4
1000026;1A;8;3;0;1;1;0;0;7;5;4;0;0
1000027;1A;1;10;1;1;1;0;0;0;3;5;7;2
1000028;1A;8;7;0;0;1;0;0;6;1;2;7;4
1000029;1A;2;0;1;1;1;1;0;4;4;0;6;2
1000030;1A;5;8;1;1;3;1;1;3;1;6;7;5
1000031;1A;6;2;0;1;2;1;1;7;0;4;3;1
1000032;1A;0;6;2;1;3;1;1;3;5;2;1;3
1000033;1A;5;8;2;1;3;1;1;0;4;7;2;4
1000034;1A;5;7;1;0;3;1;0;2;4;3;5;3
1000035;1A;5;8;0;0;0;0;0;0;5;0;6;5
1000036;1A;7;0;2;1;1;1;0;5;5;0;5;1
1000037;1A;1;4;0;1;1;1;0;2;4;6;1;0
