Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;10;8;4
1000001;1A;8;7;2
1000002;1A;7;5;1
1000003;1A;10;3;0
1000004;1A;1;5;1
1000005;1A;8;1;4
1000006;1A;4;4;2
1000007;1A;10;6;3
1000008;1A;7;1;4
1000009;1A;1;4;0
1000010;1A;6;2;1
1000011;1A;3;1;2
1000012;1A;3;6;0
1000013;1A;2;7;2
1000014;1A;2;1;1
1000015;1A;9;4;0
1000016;1A;2;1;1
1000017;1A;6;2;1
1000018;1A;9;1;4
1000019;1A;10;7;2
1000020;1A;9;5;0
1000021;1A;9;6;4
1000022;1A;9;7;0
1000023;1A;2;3;1
1000024;1A;5;1;3
1000025;1A;2;6;4
1000026;1A;2;2;4
1000027;1A;4;5;1
1000028;1A;3;6;1
1000029;1A;6;6;1
1000030;1A;5;8;2
1000031;1A;10;6;3
1000032;1A;4;8;2
1000033;1A;10;0;1
1000034;1A;3;0;0
1000035;1A;9;8;4
1000036;1A;4;0;2
1000037;1A;7;7;3
1000038;1A;0;4;3
1000039;1A;9;7;0
1000040;1A;2;3;4
1000041;1A;1;5;0
1000042;1A;2;8;1
