Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;6;7;7;4;1;6;2;8;9;3;4;10;9;5;10
1000001;1A;0;3;6;3;0;1;1;8;7;0;2;0;8;4;10
1000002;1A;3;5;5;0;1;2;1;2;3;1;1;1;8;4;0
1000003;1A;2;6;1;0;1;5;2;3;5;3;3;9;9;5;5
1000004;1A;3;4;7;2;0;2;0;5;6;3;4;6;1;2;1
1000005;1A;4;7;4;1;1;4;0;8;5;0;0;9;8;2;9
1000006;1A;6;2;5;0;1;0;2;4;4;0;2;4;9;4;6
1000007;1A;3;5;5;3;1;2;0;1;7;2;0;6;2;4;1
1000008;1A;6;2;1;4;0;4;0;8;2;2;0;1;7;2;8
1000009;1A;0;1;6;0;1;5;1;7;6;1;1;10;3;0;6
1000010;1A;6;7;5;2;1;0;1;7;1;2;2;5;2;4;6
1000011;1A;3;2;5;2;1;6;2;2;2;0;0;5;4;4;0
1000012;1A;1;2;1;1;1;5;2;8;9;0;3;7;4;2;7
1000013;1A;1;2;5;2;0;2;0;6;1;2;3;5;4;4;6
1000014;1A;4;5;4;3;1;0;2;3;6;3;0;7;3;4;5
1000015;1A;3;7;5;1;1;2;0;3;9;3;0;4;2;3;9
1000016;1A;1;6;7;0;0;3;1;4;2;1;3;0;7;3;9
1000017;1A;5;4;6;2;0;2;2;6;1;0;4;9;9;5;0
1000018;1A;6;2;3;0;1;4;2;3;1;2;4;0;7;2;1
1000019;1A;0;6;3;1;0;4;2;2;3;1;0;1;6;0;9
1000020;1A;4;0;7;2;0;6;0;3;3;3;3;2;5;3;10
1000021;1A;3;3;1;2;0;5;0;3;5;3;1;7;9;3;3
1000022;1A;2;2;1;1;0;1;0;0;5;0;1;9;0;0;10
1000023;1A;0;5;1;2;0;5;2;6;4;3;4;5;6;2;3
1000024;1A;0;1;2;4;0;2;2;7;6;0;1;2;8;1;0
1000025;1A;1;1;4;1;0;1;2;6;4;3;4;5;5;5;2
1000026;1A;1;2;7;4;1;5;2;8;9;1;3;2;4;3;6
1000027;1A;3;7;1;3;1;0;1;8;4;0;4;0;4;1;7
1000028;1A;4;5;5;3;0;5;2;5;5;3;4;4;0;1;9
1000029;1A;2;4;2;3;0;4;1;8;3;0;1;2;1;4;5
1000030;1A;2;1;7;2;1;2;2;1;1;0;3;10;8;1;9
1000031;1A;6;3;3;2;1;5;1;1;9;3;4;9;5;0;6
1000032;1A;2;5;6;4;0;5;1;3;0;2;3;6;2;5;8
1000033;1A;4;7;1;3;1;5;0;0;9;0;4;5;9;5;0
1000034;1A;4;2;4;1;0;3;2;0;1;0;3;0;3;0;1
1000035;1A;5;5;3;4;1;1;0;1;6;0;3;6;0;1;6
1000036;1A;0;1;1;0;1;3;2;3;9;1;0;3;3;0;9
1000037;1A;0;6;2;1;1;1;0;0;0;2;0;10;2;4;7
1000038;1A;2;7;3;3;0;6;0;8;3;0;4;2;8;4;5
1000039;1A;0;5;1;0;1;1;0;4;6;2;1;7;0;5;2
1000040;1A;5;6;0;1;0;1;1;8;8;2;4;7;2;3;9
