Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;6;5;2;9;6;8;9;3;5
1000001;1A;0;4;1;0;3;3;9;1;1
1000002;1A;4;0;1;8;5;6;5;0;5
1000003;1A;1;5;1;5;5;4;5;0;3
1000004;1A;4;1;0;9;0;1;3;3;1
1000005;1A;5;4;0;2;5;7;0;2;0
1000006;1A;3;2;2;7;0;6;2;1;3
1000007;1A;4;3;0;1;0;1;8;0;2
1000008;1A;1;3;0;1;6;8;3;3;2
1000009;1A;6;0;0;4;2;3;3;3;2
1000010;1A;0;1;0;5;1;5;3;1;4
1000011;1A;0;2;0;4;5;7;8;0;3
1000012;1A;0;4;2;6;0;1;3;1;2
1000013;1A;4;4;0;4;3;5;7;0;3
1000014;1A;4;0;2;7;3;6;5;3;3
1000015;1A;3;5;2;7;2;2;0;1;2
1000016;1A;3;2;2;1;4;1;5;1;0
1000017;1A;1;3;0;2;6;8;1;0;3
1000018;1A;0;1;1;3;6;8;3;1;3
1000019;1A;4;1;1;2;1;3;8;3;5
1000020;1A;0;4;0;2;4;8;9;0;4
1000021;1A;4;0;2;0;0;7;1;1;0
1000022;1A;4;5;1;0;6;7;8;0;3
1000023;1A;4;0;0;1;4;2;2;1;2
1000024;1A;0;3;0;4;5;4;9;1;2
1000025;1A;2;2;1;1;4;7;4;1;2
1000026;1A;5;5;1;7;4;8;5;0;3
1000027;1A;6;4;2;2;3;4;8;0;0
1000028;1A;1;4;0;6;6;3;8;0;0
1000029;1A;6;1;1;0;4;1;5;0;1
1000030;1A;1;0;0;2;1;7;0;0;5
1000031;1A;6;2;2;0;6;5;8;2;3
1000032;1A;3;2;0;8;5;4;7;1;3
1000033;1A;0;1;2;3;5;7;0;0;4
1000034;1A;0;4;1;4;1;0;7;2;1
1000035;1A;5;2;2;3;0;8;6;0;0
1000036;1A;3;2;2;5;0;4;9;1;4
1000037;1A;2;3;1;5;1;4;8;2;4
1000038;1A;3;3;2;6;0;2;8;2;2
1000039;1A;6;1;0;1;4;5;4;2;0
1000040;1A;3;5;1;1;3;8;5;2;5
1000041;1A;2;3;0;0;3;6;2;1;3
