Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;7;2;6;5;3;9;9;10;10;8;1;3;9;8;3;2;6;9;9;4;6;8;3
1000001;1A;4;3;1;1;3;0;5;5;4;8;4;1;2;1;5;0;2;3;6;7;3;1;7;0
1000002;1A;5;1;2;4;3;2;8;3;7;0;1;0;3;9;8;0;0;5;0;2;2;0;3;3
1000003;1A;7;5;2;2;2;0;2;1;5;4;4;0;1;2;1;0;0;1;3;1;4;0;3;3
1000004;1A;1;7;0;0;0;1;0;6;0;6;1;1;1;9;0;0;2;4;3;8;4;1;3;0
1000005;1A;3;4;1;5;4;0;9;2;8;8;0;0;3;5;2;0;1;2;3;0;3;6;5;0
1000006;1A;6;7;1;1;1;3;0;4;3;7;5;0;2;5;2;3;2;3;3;4;0;1;3;3
1000007;1A;4;0;1;6;1;2;9;2;0;8;8;0;0;7;5;3;0;5;5;4;0;0;1;1
1000008;1A;6;1;1;1;5;0;4;3;9;3;4;0;2;9;3;2;2;4;8;6;3;3;0;2
1000009;1A;8;3;0;1;2;2;7;3;5;4;3;1;0;3;1;2;2;6;0;3;3;4;2;2
1000010;1A;7;1;0;5;4;0;9;0;3;9;2;0;1;9;4;2;2;2;0;2;0;1;0;1
1000011;1A;3;2;2;4;5;3;7;8;3;0;8;1;2;0;3;2;1;2;2;8;0;0;0;2
1000012;1A;10;1;0;6;3;0;9;7;4;2;2;0;0;6;3;3;0;3;3;8;0;4;4;2
1000013;1A;6;2;2;4;4;3;2;1;7;5;7;1;3;0;7;0;1;0;0;6;0;1;1;2
1000014;1A;4;2;0;4;4;1;8;2;1;9;4;1;1;5;5;1;2;0;4;4;1;4;1;2
1000015;1A;3;2;2;0;4;2;7;7;8;4;1;0;3;2;3;2;0;6;8;2;4;0;4;3
1000016;1A;7;0;2;6;1;3;5;2;8;8;6;1;1;0;4;2;2;1;5;7;0;5;3;0
1000017;1A;6;6;1;4;5;3;0;8;4;1;1;1;3;5;7;0;0;2;8;7;4;2;2;1
1000018;1A;10;3;2;1;4;2;4;9;4;2;0;0;1;6;3;2;0;0;5;6;4;5;5;0
1000019;1A;4;3;0;6;5;1;6;0;5;1;3;0;1;6;1;0;1;4;4;3;1;4;5;0
1000020;1A;1;2;1;5;1;2;1;9;5;4;2;0;3;3;0;2;2;1;9;5;2;2;2;0
1000021;1A;9;4;2;3;2;0;2;0;3;7;1;1;2;8;1;0;1;1;5;2;3;3;0;0
1000022;1A;7;1;2;4;2;3;0;4;5;0;4;1;2;7;1;2;1;5;1;2;2;6;7;1
1000023;1A;5;7;0;5;0;3;1;5;3;1;5;0;1;9;0;0;1;6;9;2;2;0;5;1
1000024;1A;0;3;0;1;0;2;1;6;0;1;3;0;3;5;8;2;1;5;9;3;4;4;4;1
1000025;1A;10;5;1;2;1;3;8;9;3;10;2;1;2;1;4;1;0;2;0;1;3;0;8;0
