Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;3;6;7
1000001;1A;3;4;5
1000002;1A;3;6;2
1000003;1A;3;4;2
1000004;1A;0;1;5
1000005;1A;3;1;2
1000006;1A;3;1;1
1000007;1A;3;1;1
1000008;1A;2;3;7
1000009;1A;3;0;2
1000010;1A;3;5;3
1000011;1A;0;4;6
1000012;1A;2;1;0
1000013;1A;3;5;2
1000014;1A;3;5;6
1000015;1A;2;0;7
1000016;1A;0;2;1
1000017;1A;1;4;1
1000018;1A;0;1;1
1000019;1A;2;6;3
1000020;1A;2;2;3
1000021;1A;2;2;3
1000022;1A;3;1;3
1000023;1A;2;0;7
1000024;1A;0;2;6
1000025;1A;2;3;0
1000026;1A;3;6;4
