Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;8;6;8
1000001;1A;0;3;6
1000002;1A;4;5;5
1000003;1A;5;5;1
1000004;1A;1;4;2
1000005;1A;1;3;4
1000006;1A;6;1;6
1000007;1A;2;1;5
1000008;1A;0;2;8
1000009;1A;1;5;0
1000010;1A;1;3;5
1000011;1A;7;5;0
1000012;1A;4;4;3
1000013;1A;1;4;4
1000014;1A;3;1;1
1000015;1A;1;5;4
1000016;1A;5;0;5
1000017;1A;2;6;2
1000018;1A;3;0;0
1000019;1A;7;3;3
1000020;1A;4;3;7
1000021;1A;3;0;5
1000022;1A;3;0;5
1000023;1A;7;4;5
1000024;1A;4;4;1
1000025;1A;6;5;7
1000026;1A;1;2;2
1000027;1A;3;1;3
1000028;1A;4;6;4
1000029;1A;5;2;4
1000030;1A;8;5;8
1000031;1A;6;5;2
1000032;1A;7;1;2
1000033;1A;8;3;5
1000034;1A;0;2;2
1000035;1A;8;2;5
1000036;1A;2;6;6
1000037;1A;6;2;2
