Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;2;2;6;5;6;8;3;10;2
1000001;1A;0;2;1;3;0;0;2;2;1
1000002;1A;0;1;4;4;2;2;3;1;0
1000003;1A;1;2;1;0;4;7;2;9;2
1000004;1A;2;1;6;5;6;4;1;9;2
1000005;1A;2;0;5;2;0;0;1;2;1
1000006;1A;2;1;3;5;5;2;0;5;2
1000007;1A;0;1;0;3;0;8;0;8;0
1000008;1A;1;2;6;5;1;0;0;10;2
1000009;1A;2;0;6;4;0;4;2;4;0
1000010;1A;2;2;3;2;2;6;2;8;2
1000011;1A;2;2;0;2;5;7;1;1;1
1000012;1A;1;1;4;4;2;2;1;1;1
1000013;1A;2;0;6;2;5;4;3;7;2
1000014;1A;0;2;4;4;0;7;2;3;0
1000015;1A;0;0;3;4;4;0;3;3;1
1000016;1A;1;0;2;0;3;4;3;3;2
1000017;1A;2;2;2;1;5;2;2;0;0
