Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;2;5;2;9;1;6;6;5;10;3;3;10
1000001;1A;2;4;1;6;1;2;0;3;10;0;3;0
1000002;1A;1;0;1;8;1;3;6;3;0;0;1;2
1000003;1A;0;0;2;5;1;2;1;3;2;0;0;7
1000004;1A;0;0;0;9;0;3;2;1;0;3;1;8
1000005;1A;0;0;0;4;0;6;6;1;6;1;2;2
1000006;1A;1;5;0;8;0;1;3;5;3;0;3;3
1000007;1A;1;3;2;0;0;3;1;3;4;1;2;8
1000008;1A;0;0;0;8;0;5;3;3;7;1;3;4
1000009;1A;1;1;0;2;0;0;6;4;2;2;1;0
1000010;1A;0;5;0;6;0;1;5;5;10;0;1;0
1000011;1A;1;4;1;2;1;0;4;5;8;0;1;7
1000012;1A;1;0;2;2;1;0;6;3;7;1;0;2
1000013;1A;2;3;2;9;1;5;0;3;2;0;0;3
1000014;1A;0;0;0;2;0;5;1;2;2;0;3;9
1000015;1A;0;1;0;6;0;5;6;4;5;3;1;10
1000016;1A;1;1;1;5;1;3;6;1;7;0;1;6
1000017;1A;0;1;1;5;1;1;6;4;10;1;2;6
1000018;1A;0;1;0;9;0;2;5;2;2;0;2;4
1000019;1A;0;4;1;1;0;5;2;3;8;2;1;6
1000020;1A;1;5;2;9;0;1;1;5;8;2;2;10
1000021;1A;0;2;1;8;1;2;1;1;2;3;1;0
1000022;1A;0;5;1;4;0;4;0;3;9;1;1;2
1000023;1A;0;0;1;3;0;6;6;2;2;2;3;6
1000024;1A;2;4;2;6;1;6;4;5;9;2;3;7
1000025;1A;2;4;2;9;1;5;1;5;2;1;1;4
1000026;1A;1;2;2;4;1;3;6;4;6;0;0;2
1000027;1A;1;5;2;6;1;4;6;0;6;0;1;0
1000028;1A;1;1;1;8;1;0;0;3;1;1;1;2
1000029;1A;2;3;2;9;1;0;5;1;0;3;3;4
1000030;1A;1;0;1;3;1;2;1;4;9;2;0;9
1000031;1A;2;3;1;9;0;4;0;3;2;0;0;2
1000032;1A;2;2;1;3;0;5;2;5;3;0;0;5
1000033;1A;1;2;0;0;0;0;2;2;10;0;2;3
1000034;1A;1;2;0;6;0;5;6;2;5;3;2;8
1000035;1A;2;4;1;8;1;0;1;4;3;2;0;2
