Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;2;5;7;9;10;9;4;10;2
1000001;1A;1;3;2;2;2;8;1;7;1
1000002;1A;1;3;4;7;10;9;1;6;0
1000003;1A;1;3;5;1;0;1;1;8;0
1000004;1A;0;1;6;8;7;8;4;6;0
1000005;1A;1;1;5;5;8;3;0;2;2
1000006;1A;2;3;0;3;6;9;3;5;1
1000007;1A;0;4;4;1;6;2;0;3;2
1000008;1A;1;2;6;7;5;0;4;4;2
1000009;1A;0;5;0;5;2;0;4;0;1
1000010;1A;0;2;7;6;2;4;2;8;1
1000011;1A;2;1;1;5;4;3;0;0;1
1000012;1A;1;2;1;8;1;5;4;7;1
1000013;1A;0;4;2;0;7;9;3;3;1
1000014;1A;2;0;1;1;4;3;2;1;2
1000015;1A;1;1;1;3;4;4;1;6;0
1000016;1A;0;3;0;8;7;4;3;6;1
1000017;1A;0;2;2;2;9;7;2;10;1
