Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;9;8;9;1;9;8;8;10;6;6;1;7;3;7;2;10;7
1000001;1A;3;5;0;0;0;3;3;6;4;6;5;0;2;0;1;1;2;0
1000002;1A;2;4;3;5;0;3;1;1;5;0;0;1;3;3;4;1;0;6
1000003;1A;7;2;6;0;0;2;4;2;8;0;4;0;6;3;4;2;3;2
1000004;1A;5;5;1;2;0;2;0;7;7;5;2;1;4;2;3;2;7;2
1000005;1A;5;8;3;8;0;4;2;5;10;3;5;1;0;0;3;2;6;5
1000006;1A;3;9;7;3;1;5;0;8;2;6;0;0;2;3;6;2;6;7
1000007;1A;1;1;6;7;1;4;2;8;9;0;5;1;2;3;1;2;0;5
1000008;1A;1;8;3;7;0;9;3;0;5;2;0;1;7;3;7;1;10;6
1000009;1A;0;9;5;8;0;8;0;4;0;4;2;1;7;3;2;2;9;3
1000010;1A;5;4;3;8;0;6;5;6;7;6;3;1;7;3;1;2;2;7
1000011;1A;3;4;3;4;0;5;1;5;8;6;6;1;6;2;7;1;5;2
1000012;1A;0;0;3;2;1;8;8;1;7;3;2;0;7;3;4;1;5;6
1000013;1A;4;1;5;5;1;4;3;2;1;0;2;1;4;0;5;2;0;7
1000014;1A;1;9;2;6;0;0;1;6;3;6;3;0;3;1;0;1;2;3
1000015;1A;2;4;5;8;0;5;6;6;5;1;3;1;3;0;0;0;8;1
1000016;1A;3;6;1;2;1;2;6;1;8;0;0;0;3;3;4;1;7;1
1000017;1A;7;5;1;4;1;8;0;1;0;4;4;0;5;2;6;0;2;1
1000018;1A;3;4;6;9;1;4;3;7;0;0;6;0;1;1;0;2;7;2
1000019;1A;2;0;0;6;0;3;2;2;7;1;4;1;0;0;1;2;5;4
1000020;1A;7;4;2;2;0;8;1;1;0;3;3;0;1;3;7;0;1;6
1000021;1A;4;7;2;8;0;1;5;6;0;3;4;1;3;2;6;2;1;6
