Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;8;5;2;8;9;10;2;7;7;8;5;10;7;9;9;2;7
1000001;1A;8;0;1;0;4;3;3;0;6;4;2;0;5;7;4;8;2;6
1000002;1A;0;0;4;0;5;8;8;0;1;6;3;3;4;5;5;3;0;1
1000003;1A;5;0;2;2;8;9;5;1;3;0;5;2;4;0;3;0;0;2
1000004;1A;7;6;0;1;4;0;0;0;1;6;4;5;4;3;7;3;1;7
1000005;1A;5;7;4;2;4;2;4;2;5;0;2;1;0;2;1;6;2;0
1000006;1A;0;2;4;0;5;4;5;2;3;3;2;3;7;6;5;2;0;5
1000007;1A;7;4;5;0;6;3;3;1;7;5;0;2;7;7;7;3;2;0
1000008;1A;5;5;1;1;1;5;1;0;3;2;4;3;9;0;9;9;2;1
1000009;1A;8;2;1;0;7;2;1;2;5;3;6;1;5;1;3;8;2;5
1000010;1A;0;5;0;0;1;9;2;1;0;1;0;1;5;1;4;7;2;1
1000011;1A;0;3;4;1;2;6;6;2;0;6;1;4;8;7;2;8;2;2
1000012;1A;1;1;1;1;8;3;1;2;1;1;0;2;6;5;8;1;0;0
1000013;1A;4;1;0;2;5;3;9;0;0;5;4;5;9;1;6;9;0;4
1000014;1A;8;6;1;2;3;3;4;0;0;1;7;0;4;6;1;4;1;6
1000015;1A;0;7;2;1;3;6;1;2;6;2;7;0;10;4;8;8;1;6
1000016;1A;7;5;2;2;7;9;6;1;1;7;5;4;3;3;7;1;2;1
