Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;10;7;1;8;5;8;2;9;1;4;8;5;5;10;2;6;4;1;2;8;9;2;5;9;4;4
1000001;1A;1;3;6;0;5;0;0;1;1;0;2;1;3;4;9;0;0;2;0;2;3;7;0;1;2;1;1
1000002;1A;1;7;1;0;6;1;8;1;3;1;0;8;0;2;8;0;3;2;0;2;8;3;1;3;9;3;3
1000003;1A;1;9;7;1;6;3;4;0;0;0;1;4;5;2;4;2;3;3;0;0;5;4;2;0;6;1;0
1000004;1A;1;10;7;1;7;0;4;0;5;0;4;5;3;3;10;0;2;2;0;2;1;5;0;0;1;4;1
1000005;1A;1;2;5;1;7;3;4;1;8;0;4;2;2;1;0;1;6;1;0;0;8;1;0;3;4;3;4
1000006;1A;0;2;0;1;0;5;5;0;3;1;2;2;1;2;5;2;2;2;1;1;6;5;0;0;2;4;3
1000007;1A;1;4;6;1;6;3;3;2;0;1;2;0;1;2;10;1;5;4;0;0;0;1;2;0;3;3;1
1000008;1A;1;4;2;0;4;1;5;1;6;1;4;3;5;2;8;0;6;3;0;2;4;0;2;3;1;2;0
1000009;1A;0;7;5;0;0;4;6;1;1;0;0;6;1;4;0;1;5;2;0;2;4;6;0;3;8;4;2
1000010;1A;0;3;0;0;1;5;5;2;3;0;2;7;2;4;6;2;0;3;0;0;8;4;1;0;0;2;4
1000011;1A;1;9;1;1;4;4;7;1;8;0;4;5;1;0;1;2;4;3;1;2;6;4;2;1;6;0;1
1000012;1A;0;8;2;0;2;0;5;1;6;0;0;6;5;1;8;2;0;3;1;1;1;1;2;1;5;4;4
1000013;1A;0;8;1;1;4;4;6;2;5;1;0;1;1;3;10;2;2;1;0;0;1;6;1;4;6;0;4
1000014;1A;0;5;1;0;2;0;8;2;6;0;2;5;5;5;9;2;1;0;1;2;7;1;0;1;6;0;0
1000015;1A;0;1;2;1;2;0;6;0;2;0;3;3;0;2;1;1;0;0;0;0;7;0;2;4;5;3;2
1000016;1A;1;9;3;1;7;0;3;0;3;1;1;1;0;5;5;1;5;4;1;1;6;7;0;3;6;3;4
1000017;1A;0;3;2;1;3;0;7;0;8;1;2;6;2;0;0;2;1;2;1;0;2;3;2;2;6;2;3
1000018;1A;0;1;5;0;2;1;5;1;7;0;3;6;0;1;3;1;1;2;1;2;2;9;1;3;8;2;1
1000019;1A;1;4;0;0;8;4;0;1;1;0;3;3;3;1;4;1;6;4;0;2;6;0;2;5;7;3;2
1000020;1A;0;4;3;0;6;4;0;0;8;0;3;4;1;0;8;2;2;0;0;2;4;8;1;3;8;3;3
1000021;1A;1;3;5;1;2;0;1;1;8;1;2;5;1;0;7;0;2;2;0;1;6;7;0;0;4;2;4
1000022;1A;0;5;3;0;3;4;5;1;0;0;1;0;4;5;1;1;1;1;1;0;1;5;0;1;3;2;1
1000023;1A;0;0;1;1;8;4;2;0;8;1;4;5;2;1;9;0;1;1;1;0;3;3;2;2;5;1;1
1000024;1A;1;2;6;1;3;5;0;1;0;0;0;7;3;3;0;2;1;2;0;0;2;1;0;1;1;1;1
1000025;1A;0;6;4;1;5;3;5;1;3;0;3;7;1;5;2;2;1;3;0;1;6;4;1;4;2;3;3
1000026;1A;0;5;0;0;5;0;5;0;4;0;0;3;1;1;8;2;6;4;0;2;7;7;0;1;7;1;4
1000027;1A;1;8;5;0;5;2;2;1;8;0;0;2;4;2;0;2;5;4;0;2;1;9;0;3;8;1;2
1000028;1A;1;10;1;0;7;3;4;2;2;0;2;8;5;4;1;0;0;1;1;0;8;1;1;1;2;0;3
1000029;1A;0;4;5;1;8;5;7;0;9;1;4;3;5;3;10;0;6;1;1;1;8;3;1;2;3;2;3
1000030;1A;0;4;6;1;2;5;7;1;8;1;0;0;2;0;7;2;0;4;1;2;4;2;0;2;0;1;0
1000031;1A;1;8;0;0;4;1;8;1;2;0;4;2;2;3;1;1;2;2;1;0;8;8;1;1;2;3;1
