Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;6;7;4;6;10;10;10;9;4;10;2;4;7;1;5;4;6
1000001;1A;8;6;1;3;0;5;1;3;6;0;9;0;3;0;0;1;0;2
1000002;1A;8;2;0;4;2;3;7;2;5;1;10;2;2;7;1;4;3;1
1000003;1A;8;3;3;0;4;10;2;6;9;4;7;2;0;5;0;1;0;1
1000004;1A;5;0;3;2;6;9;5;5;1;2;8;2;2;5;0;4;4;6
1000005;1A;5;4;6;4;0;6;8;8;1;2;4;1;1;6;0;4;4;6
1000006;1A;1;2;5;1;6;4;2;2;7;1;10;2;0;2;1;3;1;2
1000007;1A;7;0;4;0;6;7;10;2;3;1;2;0;0;2;1;2;4;4
1000008;1A;4;6;1;4;0;10;6;10;9;2;0;0;2;1;1;0;4;3
1000009;1A;4;2;3;3;5;1;3;7;6;3;6;1;1;3;0;3;4;6
1000010;1A;8;0;3;3;4;4;7;0;5;0;7;0;1;0;0;4;4;1
1000011;1A;2;0;2;3;1;6;8;0;0;2;1;2;1;1;1;0;2;4
1000012;1A;3;5;1;3;4;3;7;1;5;1;1;0;4;7;0;5;2;6
1000013;1A;4;5;0;3;0;2;5;0;4;4;7;2;2;3;1;3;0;0
1000014;1A;4;3;5;3;0;8;4;9;7;4;1;2;1;2;0;1;2;4
1000015;1A;7;4;3;2;5;7;7;8;2;1;10;1;2;6;1;1;4;1
1000016;1A;3;6;5;1;6;9;1;9;9;4;3;0;3;0;0;0;0;4
1000017;1A;2;6;7;3;0;3;2;5;9;0;6;0;3;6;0;1;1;4
1000018;1A;1;6;3;4;1;4;6;5;7;2;6;2;4;2;0;1;3;2
1000019;1A;5;6;3;1;1;1;8;7;8;0;1;1;0;3;0;4;1;3
1000020;1A;6;5;1;3;5;6;9;2;4;0;1;2;2;7;0;4;3;2
1000021;1A;0;2;2;2;1;3;4;9;1;4;4;2;2;2;1;3;2;0
1000022;1A;6;6;3;0;2;4;9;2;7;0;1;2;3;0;1;4;2;3
1000023;1A;3;2;0;4;2;2;4;3;4;3;1;2;1;1;0;0;4;4
1000024;1A;0;5;6;0;6;7;3;9;5;1;3;0;3;6;1;4;2;0
1000025;1A;7;0;4;1;2;0;8;8;3;3;10;0;0;7;1;2;4;6
1000026;1A;6;6;2;0;3;9;8;3;3;4;0;2;3;1;0;3;3;4
1000027;1A;3;2;1;3;2;8;0;0;8;3;1;0;4;1;1;2;3;1
1000028;1A;3;6;2;4;0;0;9;6;4;3;5;1;3;1;0;0;3;4
1000029;1A;0;4;6;2;3;10;7;6;7;0;5;1;3;5;1;2;2;0
1000030;1A;7;1;6;2;1;9;5;3;9;3;3;2;4;4;0;0;0;6
1000031;1A;7;4;0;0;2;1;0;1;1;0;8;0;3;2;0;4;4;5
1000032;1A;6;4;0;4;1;1;4;5;0;0;4;0;3;1;1;1;0;6
1000033;1A;1;1;2;1;5;2;4;2;2;4;0;2;1;3;0;4;2;1
1000034;1A;1;5;5;1;5;9;8;9;4;1;1;1;3;7;1;0;4;2
1000035;1A;8;0;2;4;6;9;9;7;1;1;6;2;0;5;1;3;0;1
1000036;1A;6;1;3;4;6;0;9;3;4;3;0;2;4;7;0;4;0;0
1000037;1A;4;1;2;3;3;1;0;0;8;3;10;1;0;1;1;3;4;6
1000038;1A;0;5;0;0;1;4;1;7;0;0;4;2;2;7;0;5;1;6
1000039;1A;7;0;0;3;3;10;4;9;6;3;7;1;4;4;1;1;2;2
1000040;1A;1;0;0;2;6;1;8;4;3;0;7;2;1;7;1;3;4;0
1000041;1A;7;3;2;4;6;9;1;5;0;4;7;2;2;0;1;4;0;0
1000042;1A;7;4;7;4;3;2;10;6;6;3;3;1;4;5;0;4;3;1
1000043;1A;3;3;5;2;6;8;7;2;2;4;0;1;3;0;0;4;1;6
1000044;1A;0;2;7;0;2;6;4;9;5;1;3;2;4;4;1;0;4;1
1000045;1A;2;5;1;1;2;7;0;5;2;1;1;0;0;5;0;0;2;5
