Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;7;5;10;2;5;4;10;4;9;5;6;5;6;5;2;10;7
1000001;1A;1;3;2;5;2;5;2;6;1;6;4;4;1;1;5;2;8;5
1000002;1A;2;5;1;10;0;3;0;6;4;7;5;3;1;1;1;2;1;5
1000003;1A;2;7;3;1;0;2;4;2;4;9;0;1;0;1;1;1;7;4
1000004;1A;1;1;2;10;0;1;4;7;2;4;2;6;2;2;0;2;0;3
1000005;1A;2;3;4;2;1;4;2;9;4;2;4;6;0;6;1;2;8;4
1000006;1A;2;6;0;10;0;0;3;10;0;1;1;0;5;6;1;1;9;4
1000007;1A;0;5;4;3;0;1;1;8;3;7;5;4;4;5;5;0;7;0
1000008;1A;1;7;0;0;1;2;1;6;4;4;3;5;5;2;5;1;3;4
1000009;1A;2;3;0;1;2;5;1;6;2;2;4;5;0;0;3;0;3;3
1000010;1A;4;5;0;5;1;3;1;9;0;5;4;6;1;2;2;1;5;7
1000011;1A;4;5;3;0;2;1;4;5;4;2;0;0;2;3;3;1;3;4
1000012;1A;3;0;5;7;2;2;3;10;4;6;4;6;0;3;0;1;3;1
1000013;1A;2;4;0;3;0;0;2;5;1;5;5;0;4;5;0;0;10;4
1000014;1A;2;4;1;1;2;1;3;4;3;6;5;0;1;3;1;2;9;7
1000015;1A;0;2;1;6;2;1;0;8;2;3;3;2;5;1;2;0;6;6
1000016;1A;4;5;5;8;2;1;2;7;2;5;5;1;1;3;4;0;4;2
1000017;1A;4;2;1;0;1;1;1;7;4;4;5;4;0;6;5;1;9;7
1000018;1A;4;0;2;0;2;2;2;5;3;0;1;5;1;3;0;2;1;3
1000019;1A;4;4;5;2;1;1;3;0;0;1;5;5;1;5;3;0;5;5
1000020;1A;3;7;2;0;0;2;4;4;4;8;0;3;3;0;4;2;5;6
1000021;1A;3;5;3;6;2;0;0;1;2;6;1;0;0;3;4;2;2;1
1000022;1A;0;6;4;10;2;5;4;9;3;1;0;4;2;1;4;0;6;6
1000023;1A;0;0;5;1;1;3;4;7;2;6;4;1;3;6;3;0;3;0
1000024;1A;3;0;0;3;1;4;4;10;3;0;4;5;2;4;0;2;0;5
1000025;1A;2;6;1;8;1;4;0;5;1;9;2;3;4;3;3;2;9;3
1000026;1A;1;3;5;6;2;3;1;8;0;3;1;4;0;0;2;2;1;1
1000027;1A;3;2;5;1;2;2;1;0;0;6;3;2;5;2;5;0;1;3
1000028;1A;4;3;3;2;2;2;4;1;0;1;1;5;2;5;5;0;4;1
1000029;1A;0;6;0;10;0;3;1;0;1;3;0;6;1;0;2;1;2;1
