Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;1;5;8;6;7;3;7;6;6;9;6;10;5;6;7;6;10
1000001;1A;8;0;3;4;2;6;0;1;3;2;5;5;6;3;2;7;3;3
1000002;1A;2;1;0;4;4;2;0;0;4;5;1;3;3;3;1;2;3;10
1000003;1A;3;1;0;6;0;7;0;3;0;0;0;2;6;3;0;4;5;4
1000004;1A;1;0;4;6;1;3;3;7;1;6;7;0;1;0;6;6;2;2
1000005;1A;7;0;4;1;1;3;2;3;5;5;5;6;2;4;2;5;4;8
1000006;1A;7;1;0;0;0;1;1;1;4;3;9;5;4;4;6;2;0;0
1000007;1A;1;0;4;1;3;6;1;1;3;6;8;2;3;0;1;2;3;0
1000008;1A;3;0;3;8;4;3;1;6;5;4;5;1;9;3;2;7;1;1
1000009;1A;5;1;1;5;5;3;0;1;4;6;9;3;3;0;4;3;0;1
1000010;1A;0;1;3;0;5;4;1;3;6;2;0;5;2;5;3;7;5;7
1000011;1A;6;1;3;8;0;2;0;7;1;2;3;0;2;1;2;2;0;8
1000012;1A;6;0;4;4;2;4;3;7;4;0;5;6;3;2;1;4;5;8
1000013;1A;3;0;0;8;1;4;1;5;6;4;4;0;7;2;6;5;0;5
1000014;1A;7;0;0;6;2;4;3;6;2;6;3;6;10;1;1;5;0;9
1000015;1A;4;0;3;4;4;3;1;1;0;5;8;2;7;0;4;4;4;0
1000016;1A;6;0;4;7;2;1;0;5;2;2;9;3;0;2;1;4;2;6
1000017;1A;5;0;4;5;1;7;0;1;6;2;9;2;0;4;3;1;6;0
1000018;1A;6;1;1;8;0;6;0;7;6;2;3;5;0;0;5;2;3;5
1000019;1A;7;1;4;5;2;3;1;2;5;3;5;1;10;5;1;2;0;8
1000020;1A;8;1;3;6;2;6;2;2;1;6;9;3;0;0;2;4;1;6
1000021;1A;2;0;4;6;2;4;2;5;5;5;1;1;0;4;4;0;5;10
1000022;1A;5;1;5;7;6;3;2;1;3;3;5;4;2;5;2;6;0;0
1000023;1A;4;1;1;1;1;7;2;5;1;0;8;1;10;3;3;7;3;9
1000024;1A;1;0;2;5;4;6;2;7;3;3;8;5;7;5;1;5;4;4
1000025;1A;8;1;0;3;4;1;1;1;2;1;7;5;1;5;1;4;5;1
1000026;1A;3;1;2;0;2;4;2;3;4;6;6;0;9;0;4;0;6;2
1000027;1A;3;1;0;3;0;6;1;6;4;1;2;6;2;4;2;1;6;3
1000028;1A;3;0;2;0;6;4;0;1;1;1;3;6;6;5;6;7;4;0
