Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;10;4;9;5;8;6;3;9;8;3;8;6;6;10
1000001;1A;6;4;3;1;4;2;6;2;5;5;0;2;2;1;4
1000002;1A;7;5;1;1;0;8;1;3;5;4;3;6;1;0;4
1000003;1A;4;1;4;4;0;8;0;3;5;0;0;4;3;3;4
1000004;1A;2;5;4;2;5;0;3;2;1;6;3;1;3;5;8
1000005;1A;8;9;1;9;3;5;2;0;3;0;0;7;5;2;5
1000006;1A;0;9;1;6;5;3;4;1;1;1;2;1;5;1;10
1000007;1A;8;10;3;8;0;2;3;2;9;0;3;2;1;6;6
1000008;1A;4;3;3;1;0;8;2;2;8;1;0;8;2;5;5
1000009;1A;6;5;2;3;3;0;2;2;5;1;3;6;3;2;6
1000010;1A;4;9;1;0;4;7;0;0;4;7;0;5;2;1;7
1000011;1A;8;9;1;8;5;0;1;2;0;3;2;0;4;4;6
1000012;1A;6;3;1;7;3;6;3;3;8;0;2;2;5;5;4
1000013;1A;5;4;2;1;2;8;6;0;0;0;3;0;1;2;3
1000014;1A;1;0;3;6;4;4;2;3;7;4;2;0;2;6;5
1000015;1A;4;4;0;5;5;3;2;2;4;7;3;0;6;5;1
1000016;1A;8;3;0;2;2;3;4;2;1;1;3;5;1;6;5
1000017;1A;4;0;0;0;5;8;6;3;5;8;2;7;0;0;2
1000018;1A;5;0;4;2;4;3;3;1;1;1;3;8;3;5;5
1000019;1A;2;9;3;6;2;0;6;3;7;5;0;0;4;1;6
1000020;1A;4;9;4;7;1;2;3;3;2;8;3;6;4;2;0
1000021;1A;3;4;4;6;4;6;4;0;1;3;0;5;5;6;9
1000022;1A;4;0;1;0;3;6;6;3;4;1;2;7;4;6;0
1000023;1A;4;8;1;5;5;0;4;0;0;6;1;6;0;1;4
1000024;1A;5;7;4;3;1;8;4;2;5;3;2;7;5;1;1
1000025;1A;0;9;3;8;4;8;3;1;7;8;3;1;4;3;5
1000026;1A;4;7;1;2;3;3;0;0;2;7;3;4;4;3;1
1000027;1A;5;0;3;4;1;2;6;0;0;8;3;1;3;0;5
1000028;1A;5;2;3;8;5;2;0;2;3;2;3;5;6;4;7
1000029;1A;7;6;2;0;2;7;2;3;1;6;0;6;1;6;0
1000030;1A;7;3;1;2;0;6;4;0;2;2;0;4;3;5;9
