Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;5;9;7;9;2;1;4;3;1;4;1;4;2;3;2;4;10;5
1000001;1A;3;3;4;5;1;0;4;3;0;1;0;0;1;1;1;1;6;0
1000002;1A;1;6;0;5;0;1;4;1;1;4;1;0;1;0;0;3;1;3
1000003;1A;4;9;5;1;1;0;2;3;1;2;1;4;2;2;1;0;7;5
1000004;1A;0;0;5;4;1;0;0;1;1;1;1;4;1;0;1;0;4;4
1000005;1A;3;4;5;5;0;1;0;3;0;4;1;0;1;0;1;0;8;5
1000006;1A;2;4;3;2;1;0;2;0;0;4;0;2;1;1;2;4;3;1
1000007;1A;4;0;3;4;2;0;4;1;1;4;1;1;1;1;0;0;1;0
1000008;1A;3;6;6;1;1;0;1;3;0;2;0;3;1;0;0;3;2;5
1000009;1A;0;6;7;3;0;0;1;3;0;1;1;2;1;0;0;3;2;5
1000010;1A;4;1;2;0;2;0;1;0;1;4;0;3;2;0;0;2;8;1
1000011;1A;5;2;0;0;2;1;2;1;1;2;0;1;1;0;1;4;2;3
1000012;1A;2;2;7;5;1;0;3;0;0;4;1;2;1;0;1;3;1;1
1000013;1A;1;6;5;6;1;1;1;0;0;3;0;3;0;1;0;3;5;2
1000014;1A;1;7;6;1;1;0;3;0;1;0;0;3;1;0;2;1;6;2
1000015;1A;3;7;6;6;1;0;4;2;0;0;1;4;1;1;0;3;6;4
1000016;1A;5;5;6;0;0;0;3;0;0;3;0;3;0;0;1;3;6;3
1000017;1A;3;8;7;6;2;0;1;1;1;3;0;3;1;0;1;1;9;1
1000018;1A;0;2;2;6;1;1;0;2;0;2;0;3;0;1;2;2;1;2
1000019;1A;0;8;4;1;0;0;4;3;0;1;0;0;0;1;1;4;4;2
1000020;1A;1;5;2;9;0;1;2;1;1;4;1;1;2;0;2;0;10;0
1000021;1A;0;3;6;1;1;1;4;3;1;3;1;3;2;2;1;0;2;1
1000022;1A;4;5;2;1;0;1;1;2;0;0;0;1;0;1;0;0;4;0
1000023;1A;0;2;3;5;1;1;3;3;1;3;1;4;2;0;2;4;0;5
1000024;1A;3;8;3;2;2;1;0;0;1;4;0;0;2;1;0;1;7;2
1000025;1A;5;9;5;7;1;1;4;1;1;0;1;1;0;3;1;3;8;5
1000026;1A;4;7;2;8;2;0;0;2;0;4;0;2;0;2;1;0;1;5
1000027;1A;0;1;7;4;2;0;3;2;1;3;1;2;0;2;0;1;7;5
1000028;1A;0;9;1;3;0;0;4;2;1;2;0;1;2;3;1;2;4;1
1000029;1A;0;8;1;7;0;1;3;1;0;4;0;3;1;3;0;3;2;2
1000030;1A;0;6;1;0;0;1;1;0;1;2;0;0;2;0;2;4;2;0
1000031;1A;3;5;0;4;1;1;4;3;0;0;0;0;0;3;0;0;1;3
1000032;1A;0;8;6;9;2;1;3;2;1;1;1;0;1;3;2;4;8;2
1000033;1A;5;8;6;2;1;1;2;2;1;2;0;3;2;0;0;4;6;1
1000034;1A;0;4;2;8;0;1;3;0;0;1;0;1;2;3;2;1;5;0
1000035;1A;4;4;4;4;1;0;3;3;0;3;0;4;1;3;0;3;4;5
1000036;1A;3;6;1;0;1;1;0;2;0;4;0;3;1;2;0;3;6;1
1000037;1A;5;6;7;5;2;1;1;0;0;4;1;3;1;3;2;3;8;1
1000038;1A;1;7;3;7;0;1;1;3;1;0;0;1;0;2;0;0;8;3
1000039;1A;4;9;6;5;0;1;0;1;1;1;1;4;0;0;2;3;2;0
1000040;1A;5;7;2;6;1;0;1;1;1;0;1;0;2;1;2;3;2;1
1000041;1A;3;6;3;3;0;0;0;2;1;2;1;4;0;0;1;4;10;0
1000042;1A;2;6;7;2;2;0;4;2;0;4;0;3;1;2;0;0;2;4
1000043;1A;3;1;4;8;2;1;4;3;1;3;1;0;0;3;1;1;6;1
1000044;1A;1;0;5;2;0;1;4;3;0;3;1;0;1;2;2;3;2;3
1000045;1A;1;8;7;9;1;1;4;0;1;2;0;2;0;2;2;0;5;4
1000046;1A;2;0;2;6;0;0;4;2;1;3;1;2;2;2;2;1;5;0
1000047;1A;2;4;3;4;0;0;2;2;0;4;1;4;2;0;0;2;7;2
1000048;1A;1;3;5;9;1;0;4;2;1;3;1;1;0;0;2;3;3;3
1000049;1A;3;4;0;6;0;1;3;1;1;2;0;1;1;2;0;3;3;1
