Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;9;6;1;5;6;4
1000001;1A;9;6;0;3;5;4
1000002;1A;0;0;0;5;2;1
1000003;1A;2;4;1;0;2;0
1000004;1A;8;5;0;2;5;2
1000005;1A;4;2;0;3;6;0
1000006;1A;0;0;0;2;1;0
1000007;1A;3;6;0;2;2;4
1000008;1A;1;2;0;3;1;3
1000009;1A;1;2;1;0;3;0
1000010;1A;1;3;1;1;1;0
1000011;1A;4;4;0;2;6;1
1000012;1A;5;4;1;5;1;2
1000013;1A;3;0;0;0;2;2
1000014;1A;3;4;0;1;5;0
1000015;1A;0;3;0;1;4;0
1000016;1A;1;1;0;2;2;3
1000017;1A;6;1;0;1;1;3
1000018;1A;1;4;1;1;6;4
1000019;1A;6;6;0;5;4;1
1000020;1A;9;5;0;5;0;0
1000021;1A;6;6;0;2;1;0
1000022;1A;2;6;0;0;3;1
1000023;1A;0;0;0;3;3;4
1000024;1A;4;0;0;0;3;1
1000025;1A;9;0;1;0;5;0
1000026;1A;6;2;1;0;3;2
