Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;9;8;8;6;5;7
1000001;1A;2;4;7;3;5;2
1000002;1A;6;3;7;5;1;3
1000003;1A;3;2;3;5;5;0
1000004;1A;6;6;4;5;3;0
1000005;1A;6;8;0;1;1;3
1000006;1A;8;3;4;1;0;7
1000007;1A;1;2;8;3;5;2
1000008;1A;4;6;0;6;3;0
1000009;1A;0;0;5;0;4;4
1000010;1A;2;6;8;6;5;0
1000011;1A;1;3;6;1;5;4
1000012;1A;9;5;1;1;4;6
1000013;1A;4;6;3;1;0;0
1000014;1A;6;8;4;6;1;5
1000015;1A;3;5;2;5;4;2
1000016;1A;9;7;5;4;1;7
1000017;1A;9;6;4;2;2;0
1000018;1A;1;6;0;2;1;0
1000019;1A;6;6;3;3;1;6
1000020;1A;6;8;6;2;4;2
1000021;1A;0;4;7;1;0;4
1000022;1A;8;0;6;2;1;3
1000023;1A;5;8;8;3;3;3
1000024;1A;2;0;6;6;1;4
1000025;1A;5;4;7;4;2;6
1000026;1A;9;5;2;1;2;0
1000027;1A;5;2;6;6;4;6
1000028;1A;2;8;6;2;3;4
1000029;1A;3;8;5;0;1;1
1000030;1A;9;0;0;5;1;7
1000031;1A;3;4;7;0;2;2
1000032;1A;2;7;3;4;3;6
1000033;1A;5;5;8;6;3;2
1000034;1A;1;0;8;0;0;4
1000035;1A;5;7;8;6;0;3
1000036;1A;9;5;6;3;3;4
1000037;1A;1;2;8;5;4;5
1000038;1A;0;0;6;2;3;4
1000039;1A;2;6;4;0;5;5
1000040;1A;4;8;2;3;3;2
1000041;1A;4;4;6;6;4;6
1000042;1A;0;6;5;1;2;2
