Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;3;7;10
1000001;1A;3;5;10
1000002;1A;0;2;8
1000003;1A;0;4;7
1000004;1A;2;0;8
1000005;1A;3;7;7
1000006;1A;3;6;2
1000007;1A;0;2;4
1000008;1A;2;6;3
1000009;1A;2;3;5
1000010;1A;3;2;4
1000011;1A;1;6;2
1000012;1A;2;2;0
1000013;1A;2;1;7
1000014;1A;1;2;8
1000015;1A;3;5;4
1000016;1A;0;6;0
1000017;1A;3;7;8
1000018;1A;3;1;10
1000019;1A;3;4;9
1000020;1A;0;0;8
1000021;1A;2;7;9
1000022;1A;1;4;0
1000023;1A;3;7;5
1000024;1A;3;6;7
1000025;1A;0;4;6
1000026;1A;1;3;10
