Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;1;1;4;6;5;8;8;9;8
1000001;1A;1;0;1;0;4;7;3;7;7
1000002;1A;1;0;1;1;5;6;4;3;6
1000003;1A;1;0;4;6;4;2;2;5;6
1000004;1A;1;1;2;6;4;3;2;0;6
1000005;1A;1;0;0;3;3;2;3;3;0
1000006;1A;0;1;4;3;0;0;3;7;8
1000007;1A;0;1;4;4;3;7;3;9;8
1000008;1A;1;1;1;0;4;8;3;3;0
1000009;1A;0;0;3;1;0;8;6;7;1
1000010;1A;0;1;0;4;5;7;8;0;7
1000011;1A;0;1;2;4;1;0;6;9;6
1000012;1A;1;0;3;6;4;5;6;0;5
1000013;1A;1;0;1;6;0;7;0;3;4
1000014;1A;1;1;0;0;1;6;3;7;8
1000015;1A;0;1;1;6;5;0;5;9;1
1000016;1A;1;0;4;3;0;7;2;2;8
1000017;1A;1;0;3;3;2;6;3;4;0
1000018;1A;0;1;3;3;3;5;0;3;0
1000019;1A;0;0;4;6;0;1;4;1;4
1000020;1A;0;0;3;3;4;1;8;6;4
1000021;1A;0;1;3;1;4;1;5;0;6
1000022;1A;0;1;2;2;5;6;3;6;1
1000023;1A;1;1;3;1;5;7;1;5;1
1000024;1A;1;1;3;1;0;6;5;3;4
1000025;1A;1;0;1;2;0;0;0;7;8
1000026;1A;0;1;3;2;1;6;2;1;3
1000027;1A;0;1;3;5;1;2;8;2;5
1000028;1A;1;0;1;4;5;4;2;5;1
1000029;1A;0;0;3;5;4;4;0;7;3
1000030;1A;1;0;0;1;1;1;5;2;1
1000031;1A;1;1;0;6;1;8;4;6;0
1000032;1A;0;1;0;6;4;6;5;1;3
1000033;1A;1;1;1;3;5;2;8;2;6
1000034;1A;0;0;1;5;1;3;6;7;3
1000035;1A;0;1;1;3;2;1;5;1;1
1000036;1A;0;0;4;2;0;5;3;3;2
1000037;1A;0;1;4;2;5;1;8;9;8
1000038;1A;1;1;1;3;3;3;5;8;1
