Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;7;3;6;2;1;8;8;10;7;6;10;3;5;10;7;3;8;5;7;9;4;10;5
1000001;1A;5;5;2;4;1;1;0;8;4;6;1;4;1;0;9;6;1;0;3;1;5;3;0;0
1000002;1A;7;6;2;0;0;1;6;1;0;6;0;3;3;3;9;7;0;0;4;2;8;1;10;0
1000003;1A;7;2;1;6;2;1;4;4;8;6;0;4;3;3;1;7;1;2;0;7;0;2;10;1
1000004;1A;3;1;1;2;0;0;8;7;5;1;4;4;0;2;10;0;1;2;1;0;5;0;4;1
1000005;1A;3;5;1;0;0;0;6;7;2;5;5;1;2;2;5;7;0;2;1;6;2;0;5;1
1000006;1A;7;6;3;5;2;0;5;3;8;0;6;5;1;0;4;4;2;7;1;6;5;4;3;4
1000007;1A;3;1;2;1;2;0;1;6;3;1;1;9;3;2;2;2;1;3;2;1;0;0;4;2
1000008;1A;7;3;2;4;2;0;3;6;3;4;2;7;2;5;2;5;3;1;5;0;9;3;2;0
1000009;1A;6;5;0;6;0;1;5;4;6;4;3;4;1;0;1;1;3;5;2;7;4;3;4;5
1000010;1A;4;1;3;6;0;0;5;2;8;5;3;7;1;2;1;6;3;4;4;2;6;1;1;4
1000011;1A;4;4;2;5;0;1;1;0;9;5;1;7;0;0;8;7;2;7;2;0;4;4;6;2
1000012;1A;7;1;1;3;1;1;4;4;3;5;4;8;3;3;6;1;3;4;3;3;5;0;2;0
1000013;1A;5;0;1;0;2;1;7;1;0;0;1;5;1;0;3;3;2;3;2;5;6;0;8;4
1000014;1A;4;3;2;0;1;1;0;8;10;7;1;0;3;0;1;2;3;4;1;4;8;4;0;2
1000015;1A;5;0;1;5;2;1;6;7;6;2;6;3;0;5;2;6;3;6;3;3;5;2;10;0
1000016;1A;5;1;1;0;0;0;5;5;5;3;6;5;2;0;2;6;1;0;2;0;0;3;0;3
1000017;1A;4;7;1;1;1;1;1;4;10;7;2;8;1;2;0;0;2;4;0;4;1;4;4;3
1000018;1A;3;4;1;5;0;0;2;5;4;7;5;0;2;0;5;1;1;0;2;3;4;2;2;2
1000019;1A;6;3;0;6;1;1;7;2;4;4;3;5;2;1;2;7;0;7;3;5;1;4;2;5
1000020;1A;4;4;3;6;2;0;5;5;5;6;3;9;3;1;1;6;2;5;1;5;3;2;4;1
1000021;1A;4;2;0;2;1;1;7;7;0;3;5;6;0;2;10;5;1;5;1;3;2;1;6;0
1000022;1A;5;4;3;0;2;1;6;4;10;2;6;6;3;4;0;0;1;2;4;1;7;3;4;2
1000023;1A;7;4;1;4;2;0;7;3;9;1;3;1;0;0;10;1;0;2;4;4;2;2;1;4
1000024;1A;7;2;2;2;2;1;1;3;3;3;5;2;0;5;5;5;0;1;4;2;3;0;10;3
1000025;1A;5;0;2;0;1;0;5;8;6;4;0;10;2;3;6;1;0;1;3;2;4;0;9;3
1000026;1A;2;7;2;2;2;1;6;3;10;5;0;7;1;2;3;1;1;1;0;4;7;1;5;1
1000027;1A;0;7;2;6;1;1;0;2;7;7;6;8;2;5;9;7;0;7;3;5;2;2;7;4
1000028;1A;5;2;3;2;1;0;2;3;9;6;3;0;1;5;7;6;2;1;3;7;3;1;2;4
1000029;1A;6;0;0;0;0;0;0;1;8;4;2;10;2;5;9;5;3;4;4;0;6;1;9;0
1000030;1A;1;1;3;5;2;1;5;3;10;4;3;7;0;2;4;7;1;2;4;6;8;4;9;2
1000031;1A;5;3;1;1;0;0;2;3;3;6;0;7;2;0;9;3;2;6;1;3;7;4;8;3
1000032;1A;3;5;2;4;2;1;4;2;3;7;2;6;3;4;7;3;3;0;4;2;4;2;6;3
