Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;10;8;9;9;5;3;1;9;8
1000001;1A;6;1;7;7;4;0;0;3;8
1000002;1A;9;5;2;2;4;0;1;3;2
1000003;1A;5;5;2;8;3;3;1;7;3
1000004;1A;1;1;7;2;3;1;1;9;3
1000005;1A;6;6;0;8;2;0;1;2;1
1000006;1A;9;2;5;0;3;1;1;0;0
1000007;1A;10;7;3;8;4;3;1;1;8
1000008;1A;8;3;2;4;1;0;1;6;6
1000009;1A;1;5;8;5;4;2;0;8;7
1000010;1A;9;6;6;5;4;2;1;5;5
1000011;1A;3;6;9;7;1;0;1;4;3
1000012;1A;6;6;2;8;4;3;0;6;4
1000013;1A;6;7;1;5;1;1;1;4;8
1000014;1A;10;7;4;0;1;2;1;3;7
1000015;1A;8;5;4;3;3;2;1;0;2
1000016;1A;3;2;8;5;3;3;1;5;6
1000017;1A;6;5;1;3;2;0;1;1;6
1000018;1A;4;4;4;8;5;0;0;8;2
1000019;1A;1;6;3;0;5;1;0;2;6
1000020;1A;8;4;2;7;0;2;1;2;2
1000021;1A;3;7;0;7;4;0;0;1;8
1000022;1A;9;0;0;9;1;0;0;5;8
1000023;1A;9;1;9;2;3;1;1;9;1
1000024;1A;7;6;4;6;0;0;0;9;7
1000025;1A;1;6;5;9;0;2;0;3;4
1000026;1A;5;4;4;2;2;2;1;6;5
1000027;1A;0;0;1;5;5;1;0;2;2
1000028;1A;1;4;5;7;3;1;1;2;2
1000029;1A;6;1;1;7;1;1;0;4;6
1000030;1A;5;3;7;0;0;2;0;7;6
1000031;1A;8;7;1;7;3;1;0;6;5
1000032;1A;0;4;2;1;5;3;0;7;6
1000033;1A;7;1;0;5;4;3;0;0;6
