Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;3;8;2;4;2;3;4;3;8;1;8;10;5;10;6;9;4;1;7;4;6;5;6;2;4;2;1
1000001;1A;1;2;2;1;2;3;3;1;8;0;1;8;2;8;2;6;3;1;4;0;1;2;3;1;2;0;0
1000002;1A;0;3;2;4;0;3;3;2;4;1;3;1;2;8;6;7;1;1;4;0;2;4;3;1;2;1;0
1000003;1A;3;6;0;4;0;1;1;0;2;1;8;3;2;5;4;2;4;0;6;2;0;1;5;0;4;2;0
1000004;1A;0;8;1;3;0;3;0;3;7;1;2;0;3;4;4;9;0;1;6;2;1;2;1;1;3;1;1
1000005;1A;3;3;2;1;2;1;1;1;4;0;6;6;0;10;2;5;0;0;4;2;4;4;6;1;4;0;1
1000006;1A;3;8;0;2;1;1;2;1;0;0;6;3;4;9;6;4;2;0;6;1;4;4;3;2;3;0;0
1000007;1A;0;3;0;1;1;2;0;2;0;0;3;1;1;10;3;5;0;1;0;2;5;1;1;1;3;2;0
1000008;1A;3;0;2;2;1;1;4;1;5;1;2;5;5;6;3;4;3;0;0;3;1;5;5;1;3;1;1
1000009;1A;1;6;0;2;1;0;3;2;7;1;5;1;2;2;6;3;4;0;4;2;6;1;6;1;3;0;1
1000010;1A;1;5;0;4;2;3;0;1;4;1;4;1;5;8;3;9;3;0;3;2;2;5;0;1;2;1;0
1000011;1A;0;0;2;2;0;3;2;0;2;0;5;4;0;3;1;9;1;0;2;1;3;2;2;1;0;0;1
1000012;1A;1;5;2;3;1;1;0;1;2;0;4;7;0;4;3;8;1;0;6;2;6;0;3;2;3;2;0
1000013;1A;2;3;1;4;0;0;0;1;6;0;0;2;3;7;1;3;4;1;0;1;5;2;3;0;4;2;1
1000014;1A;2;2;0;2;0;3;1;2;1;0;1;4;4;9;5;3;4;0;1;0;1;0;2;0;2;2;0
1000015;1A;2;0;0;2;1;1;2;3;8;1;0;10;0;1;2;9;1;1;2;0;2;1;4;1;2;1;1
