Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;5;2;5;7;1;10;8;6;7;5;1;6;10;9
1000001;1A;1;2;2;5;2;1;9;4;6;3;2;1;2;4;4
1000002;1A;0;1;1;3;2;1;9;6;6;2;0;1;1;3;6
1000003;1A;1;4;1;5;4;1;5;7;6;0;1;0;4;10;1
1000004;1A;1;2;0;3;3;0;4;5;3;0;5;1;3;6;3
1000005;1A;0;1;2;5;2;1;4;7;3;4;3;1;3;6;0
1000006;1A;1;3;1;2;0;1;6;5;4;4;1;1;2;2;5
1000007;1A;0;2;0;2;1;0;1;8;0;0;5;0;2;5;2
1000008;1A;0;4;0;5;5;0;6;1;2;6;3;1;0;4;7
1000009;1A;0;5;1;4;5;0;5;4;1;1;5;1;0;1;2
1000010;1A;1;2;2;4;2;1;8;7;6;0;4;0;6;1;5
1000011;1A;1;5;2;5;6;0;10;8;1;5;1;1;1;6;2
1000012;1A;0;2;1;2;7;0;0;2;4;6;3;0;0;10;8
1000013;1A;1;5;2;3;3;1;2;6;5;5;1;0;2;0;3
1000014;1A;1;1;2;2;2;0;9;4;4;3;2;0;3;9;7
1000015;1A;1;0;1;3;1;1;8;0;6;3;3;0;4;4;1
1000016;1A;1;0;0;2;6;0;10;3;0;2;2;0;1;6;5
1000017;1A;1;4;2;4;4;1;1;7;1;2;4;0;2;4;0
1000018;1A;1;5;0;1;3;0;2;8;2;5;4;1;6;5;1
