Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;5;6;6;9;2;4;7;9;2;5;9;8;7;3;9;5;2;10
1000001;1A;3;1;4;0;2;3;5;8;0;5;7;8;7;3;9;2;0;5
1000002;1A;0;3;0;7;1;4;3;6;2;5;8;7;4;3;2;1;0;5
1000003;1A;3;0;5;0;1;0;0;6;0;4;3;3;0;3;1;1;2;2
1000004;1A;0;4;0;5;1;4;1;8;0;1;4;6;2;3;0;2;2;2
1000005;1A;5;5;6;2;1;1;6;5;1;2;8;7;1;3;5;5;1;10
1000006;1A;3;0;0;9;1;2;3;5;1;0;5;1;7;1;6;2;2;4
1000007;1A;5;1;4;0;0;4;1;3;1;3;7;6;7;1;8;5;0;0
1000008;1A;3;6;2;3;2;1;3;1;2;3;0;7;2;3;0;0;2;3
1000009;1A;3;6;2;4;2;1;2;6;1;3;3;3;6;1;6;1;1;6
1000010;1A;1;4;1;3;2;3;0;0;0;0;3;8;0;1;2;1;1;7
1000011;1A;4;4;5;8;2;4;2;2;1;1;7;5;3;1;7;5;1;4
1000012;1A;5;1;3;6;0;2;7;4;1;2;2;6;2;2;2;1;2;6
1000013;1A;5;6;3;7;0;0;2;9;1;4;3;4;0;2;1;0;2;5
1000014;1A;5;1;5;8;1;2;4;1;2;2;4;1;2;2;9;2;0;6
