Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;4;8;5;9;4;10
1000001;1A;2;4;3;9;2;5
1000002;1A;0;7;3;8;1;6
1000003;1A;4;2;4;6;2;3
1000004;1A;2;6;2;5;3;7
1000005;1A;4;7;2;3;4;7
1000006;1A;0;7;4;6;0;2
1000007;1A;0;3;2;2;2;0
1000008;1A;0;7;2;6;0;10
1000009;1A;2;2;4;1;4;8
1000010;1A;1;3;3;0;3;8
1000011;1A;1;7;3;4;4;0
1000012;1A;1;4;3;3;0;9
1000013;1A;1;8;5;6;4;2
1000014;1A;1;1;0;5;4;6
1000015;1A;4;5;0;4;1;0
1000016;1A;3;0;0;7;2;3
1000017;1A;0;4;1;8;0;1
1000018;1A;0;6;0;5;3;5
1000019;1A;3;8;0;6;3;9
1000020;1A;3;2;0;7;4;10
1000021;1A;1;2;0;9;3;7
1000022;1A;1;1;4;7;1;1
