Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;8;1;9;10;10;3;5;3;3;7;6
1000001;1A;1;3;0;9;5;7;0;3;0;3;1;4
1000002;1A;9;3;1;3;4;0;2;1;2;2;2;4
1000003;1A;10;8;1;3;3;5;2;2;3;2;1;3
1000004;1A;8;0;1;3;5;10;2;3;1;0;2;6
1000005;1A;10;2;1;8;10;6;2;4;1;1;4;6
1000006;1A;2;1;0;4;5;7;0;5;1;1;4;2
1000007;1A;4;5;0;0;1;4;3;3;1;2;7;6
1000008;1A;1;6;1;6;1;3;3;1;3;2;3;6
1000009;1A;4;2;0;8;9;3;1;3;1;2;5;2
1000010;1A;0;6;0;9;4;7;3;0;3;3;6;2
1000011;1A;1;1;0;4;2;8;2;2;1;0;7;1
1000012;1A;9;5;0;5;9;6;2;4;0;2;3;2
1000013;1A;2;3;1;8;6;6;2;3;1;3;3;6
1000014;1A;2;2;0;2;6;10;3;5;1;3;1;0
1000015;1A;8;2;0;5;1;1;3;2;3;0;7;5
1000016;1A;2;8;0;8;4;9;0;5;2;0;1;2
1000017;1A;8;3;1;7;3;2;1;4;3;0;6;6
1000018;1A;7;1;1;7;6;4;0;1;0;0;4;3
1000019;1A;2;2;0;5;8;4;3;1;1;0;6;0
1000020;1A;10;3;0;9;8;3;3;2;0;2;5;1
1000021;1A;9;2;0;1;0;1;1;3;2;1;7;5
1000022;1A;0;4;1;3;4;2;1;2;2;1;1;5
1000023;1A;2;1;1;2;4;8;3;4;1;2;6;1
