Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;9;4;9;5;8;3;7;5;10;10;7;3;10;1
1000001;1A;2;2;2;6;5;0;1;6;4;8;5;1;3;2;1
1000002;1A;4;8;3;6;0;1;1;3;1;10;5;1;2;3;1
1000003;1A;4;0;3;9;3;4;1;6;5;4;6;2;0;0;1
1000004;1A;4;3;1;1;2;5;3;3;2;1;7;6;2;9;1
1000005;1A;4;5;4;4;2;0;1;2;5;9;9;0;1;8;1
1000006;1A;2;7;4;9;2;8;3;0;1;5;4;5;2;6;1
1000007;1A;2;0;4;4;2;3;3;0;4;1;3;5;2;7;0
1000008;1A;4;7;3;5;3;1;2;5;2;8;9;4;3;0;0
1000009;1A;4;5;3;5;5;5;3;5;2;5;3;0;2;0;0
1000010;1A;1;4;1;5;4;8;3;3;3;4;3;3;2;6;1
1000011;1A;1;0;2;5;2;6;2;2;5;1;6;7;3;4;1
1000012;1A;4;7;4;2;2;2;0;1;3;8;8;1;2;10;0
1000013;1A;1;6;4;4;1;8;0;5;5;10;6;1;3;4;0
1000014;1A;0;8;3;6;4;0;0;6;4;3;4;2;0;8;1
