Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;4;4;10;7;4;5;7;10;3;10;4;8;4;1;6;5;5
1000001;1A;8;3;3;3;2;0;2;5;10;0;10;1;2;4;0;1;4;0
1000002;1A;9;4;1;8;3;2;0;4;5;2;2;3;2;2;0;0;4;2
1000003;1A;4;2;1;4;3;3;5;6;7;3;6;2;4;0;0;2;3;0
1000004;1A;3;2;1;0;1;1;3;2;8;0;3;3;1;0;0;6;1;0
1000005;1A;2;2;4;4;1;1;2;5;2;0;7;3;0;4;1;5;4;1
1000006;1A;1;0;4;9;0;4;3;2;9;1;6;2;0;1;1;5;2;5
1000007;1A;9;3;3;10;5;0;5;7;10;3;0;0;3;4;1;2;4;4
1000008;1A;8;1;0;4;7;3;5;4;0;1;4;2;4;4;1;3;3;4
1000009;1A;0;4;3;7;6;3;1;7;3;0;9;2;7;0;1;1;5;4
1000010;1A;9;4;1;2;2;3;1;3;0;3;8;1;0;2;0;2;0;4
1000011;1A;0;0;4;10;4;0;1;3;4;2;5;2;7;0;1;6;3;3
1000012;1A;0;0;4;9;0;2;3;6;9;0;8;1;7;3;1;6;5;5
1000013;1A;7;3;1;8;4;4;5;3;9;1;2;0;4;1;0;5;5;0
1000014;1A;3;3;1;6;6;1;3;5;2;3;1;0;7;2;1;2;1;2
1000015;1A;7;4;3;8;2;0;0;5;9;2;0;1;3;0;0;5;0;4
1000016;1A;5;1;0;6;5;0;2;4;9;3;6;0;2;3;1;6;1;5
1000017;1A;8;1;1;6;1;2;1;2;7;2;0;1;3;0;1;0;4;2
1000018;1A;8;0;0;2;1;2;3;3;7;2;0;1;3;2;0;1;0;1
1000019;1A;8;0;2;10;1;3;3;5;5;0;2;1;5;4;1;1;0;5
1000020;1A;9;1;3;7;4;3;5;4;4;0;9;2;1;0;1;2;5;1
1000021;1A;3;0;0;6;3;4;3;6;8;1;10;4;0;0;1;6;5;5
1000022;1A;5;4;4;6;3;1;5;2;8;3;2;1;6;1;1;2;5;2
1000023;1A;5;3;0;0;5;0;2;5;1;0;8;1;6;1;1;3;0;4
1000024;1A;5;4;4;7;2;2;3;6;7;2;6;3;6;4;0;1;1;5
1000025;1A;2;1;0;1;4;1;5;5;9;1;3;4;0;4;1;6;1;1
1000026;1A;1;1;3;1;1;0;3;1;3;1;6;4;3;4;0;0;3;3
1000027;1A;2;2;3;8;1;0;1;5;0;2;4;1;0;0;1;5;2;4
1000028;1A;1;3;3;1;1;2;4;5;10;1;2;0;4;4;0;0;0;2
1000029;1A;3;3;1;9;5;3;3;1;5;3;5;3;1;4;1;6;4;3
1000030;1A;6;4;4;2;4;0;2;4;6;1;1;3;5;2;1;5;5;5
1000031;1A;2;2;3;0;2;4;1;1;0;1;1;4;1;2;1;5;2;1
1000032;1A;5;0;1;2;2;0;4;1;10;0;8;1;8;3;1;5;5;1
1000033;1A;2;2;1;6;3;2;1;0;10;2;3;1;7;4;0;3;3;0
1000034;1A;6;3;2;6;1;2;3;5;7;3;9;0;0;3;0;4;0;3
1000035;1A;9;3;2;3;1;3;3;4;9;1;7;4;4;2;1;1;4;1
1000036;1A;5;0;4;8;3;3;2;6;0;0;10;4;4;4;0;4;0;4
1000037;1A;9;0;0;4;5;4;5;0;9;0;9;4;3;2;0;6;2;3
1000038;1A;5;4;4;4;6;0;3;6;8;1;6;3;3;2;1;0;4;3
1000039;1A;4;1;3;9;3;3;0;0;1;0;8;0;8;1;0;2;1;0
1000040;1A;2;3;0;4;4;1;0;1;2;0;3;4;0;2;1;1;5;1
1000041;1A;6;1;0;9;5;0;1;0;7;3;4;3;1;3;0;5;3;0
1000042;1A;9;3;2;10;5;0;1;7;5;2;8;2;8;1;1;1;1;4
1000043;1A;4;1;4;2;4;4;4;7;5;3;10;1;5;3;0;4;2;5
1000044;1A;3;2;0;7;7;2;3;5;9;2;9;3;6;2;0;5;2;5
