Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;9;10;9
1000001;1A;6;3;0
1000002;1A;6;6;5
1000003;1A;5;0;4
1000004;1A;1;7;0
1000005;1A;5;2;4
1000006;1A;0;0;8
1000007;1A;4;10;3
1000008;1A;0;6;6
1000009;1A;5;0;6
1000010;1A;2;4;9
1000011;1A;2;3;4
1000012;1A;1;3;1
1000013;1A;2;4;1
1000014;1A;1;6;0
1000015;1A;1;0;7
1000016;1A;4;7;3
1000017;1A;9;3;3
1000018;1A;8;2;8
1000019;1A;8;9;5
1000020;1A;2;7;1
1000021;1A;7;1;6
1000022;1A;2;8;8
1000023;1A;2;3;6
1000024;1A;1;7;6
1000025;1A;7;6;3
1000026;1A;4;7;8
1000027;1A;6;10;6
1000028;1A;5;0;0
1000029;1A;3;8;7
1000030;1A;5;1;5
1000031;1A;2;3;6
1000032;1A;2;5;3
1000033;1A;7;7;8
1000034;1A;8;4;6
1000035;1A;9;1;1
1000036;1A;9;1;2
1000037;1A;0;10;7
1000038;1A;3;7;3
1000039;1A;1;10;7
1000040;1A;4;5;9
