Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;7;3;2;9;5;1;7;3;9;8;1
1000001;1A;1;6;3;1;5;0;1;7;3;1;5;1
1000002;1A;2;0;3;1;6;1;1;2;1;8;4;0
1000003;1A;3;4;2;1;9;2;0;1;0;8;4;0
1000004;1A;2;0;3;1;2;1;0;4;0;4;1;1
1000005;1A;9;4;0;1;7;2;0;6;2;1;1;1
1000006;1A;0;6;1;0;9;2;0;0;0;7;0;0
1000007;1A;8;7;0;0;9;3;0;2;2;3;1;0
1000008;1A;2;4;3;2;3;1;1;1;3;4;7;1
1000009;1A;7;5;3;0;8;5;1;7;1;5;5;0
1000010;1A;8;4;0;2;9;1;1;5;3;6;5;0
1000011;1A;0;4;1;0;2;3;0;3;2;9;4;0
1000012;1A;1;4;0;2;2;4;1;6;2;0;6;1
1000013;1A;9;1;2;0;2;3;1;4;2;2;7;0
1000014;1A;4;2;2;2;7;5;0;7;1;8;1;1
1000015;1A;0;2;3;2;2;1;0;1;1;7;4;1
1000016;1A;9;4;1;2;2;2;0;0;0;2;5;0
1000017;1A;0;5;1;2;5;3;0;2;0;3;8;1
1000018;1A;4;5;3;2;5;3;0;1;2;7;1;1
1000019;1A;0;5;1;0;3;0;0;1;1;2;0;0
1000020;1A;6;2;3;2;0;1;1;6;3;9;0;0
1000021;1A;3;6;0;1;2;4;1;3;1;4;2;0
1000022;1A;1;5;2;1;1;4;0;2;2;2;2;1
1000023;1A;9;6;2;2;0;3;1;2;0;6;4;0
1000024;1A;3;0;1;2;7;5;1;0;0;9;0;1
1000025;1A;9;4;2;0;7;0;1;1;2;4;6;0
1000026;1A;0;2;1;0;3;0;1;0;1;9;5;0
1000027;1A;6;0;1;1;7;0;0;3;3;6;4;1
1000028;1A;4;0;3;2;6;2;1;4;0;7;0;0
1000029;1A;8;7;3;1;0;2;1;1;1;5;0;1
1000030;1A;4;2;1;1;3;2;0;4;0;5;5;1
1000031;1A;3;2;3;1;2;3;0;5;0;4;6;1
1000032;1A;5;5;0;2;3;5;1;6;3;0;4;1
1000033;1A;6;4;0;0;5;0;1;1;1;8;0;1
1000034;1A;7;6;2;2;4;1;0;2;3;2;3;1
