Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;1;1;9;6;9;9
1000001;1A;0;0;8;3;3;7
1000002;1A;1;0;0;0;4;6
1000003;1A;0;1;0;5;7;0
1000004;1A;0;0;6;5;4;4
1000005;1A;1;0;4;6;3;4
1000006;1A;0;1;1;6;4;3
1000007;1A;1;1;7;4;8;6
1000008;1A;0;0;8;5;5;5
1000009;1A;1;0;0;2;9;8
1000010;1A;1;0;7;4;0;4
1000011;1A;0;1;3;2;5;7
1000012;1A;1;1;8;6;5;6
1000013;1A;0;1;7;0;8;9
1000014;1A;0;0;6;0;5;0
1000015;1A;0;0;4;5;0;0
1000016;1A;0;1;5;2;1;4
1000017;1A;1;1;3;6;9;3
1000018;1A;0;0;0;2;2;3
1000019;1A;0;1;2;1;8;9
1000020;1A;1;0;9;6;4;9
1000021;1A;0;1;2;4;4;3
1000022;1A;1;1;4;5;7;9
