Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;2;3;6;7;10;3;7;4;5
1000001;1A;0;0;4;0;2;1;5;4;0
1000002;1A;2;0;2;0;8;0;5;2;2
1000003;1A;2;3;0;5;8;3;2;2;3
1000004;1A;0;0;1;7;3;1;0;1;5
1000005;1A;0;1;1;0;0;1;7;3;1
1000006;1A;1;1;3;1;5;3;4;3;3
1000007;1A;1;0;5;1;2;3;6;0;1
1000008;1A;1;2;4;7;5;2;4;2;3
1000009;1A;1;2;5;1;10;3;6;3;1
1000010;1A;0;2;3;4;0;1;7;1;2
1000011;1A;2;3;4;7;3;3;3;2;0
1000012;1A;1;0;3;7;4;3;2;4;1
1000013;1A;0;2;2;3;6;3;4;1;0
1000014;1A;2;3;0;0;9;1;7;1;5
1000015;1A;1;3;4;6;0;2;5;3;5
1000016;1A;1;3;5;2;2;2;0;0;1
1000017;1A;2;3;2;3;4;3;0;1;0
1000018;1A;1;2;3;2;10;1;4;3;4
1000019;1A;0;3;6;7;0;3;2;0;1
1000020;1A;1;2;3;5;6;1;4;4;5
1000021;1A;2;1;6;6;3;2;0;2;2
1000022;1A;0;3;6;4;1;2;0;0;4
1000023;1A;0;2;5;4;8;3;2;3;3
1000024;1A;2;3;1;6;10;1;7;2;0
1000025;1A;1;2;2;4;5;1;5;3;0
1000026;1A;2;2;1;0;3;1;0;4;5
1000027;1A;0;2;3;0;5;3;2;4;5
