Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;2;1;7;5;7;1;10;5;10;4;9;5
1000001;1A;1;0;1;0;4;0;7;5;6;3;3;0
1000002;1A;1;1;5;5;5;1;4;5;1;2;7;5
1000003;1A;2;1;5;0;3;0;10;4;8;0;0;1
1000004;1A;1;1;7;0;0;1;0;1;9;0;2;0
1000005;1A;2;0;1;1;2;1;3;4;9;0;5;0
1000006;1A;2;0;0;3;7;0;8;5;10;3;1;5
1000007;1A;1;1;2;5;0;1;8;2;4;1;6;4
1000008;1A;1;1;7;5;6;1;6;5;6;3;9;1
1000009;1A;0;0;6;0;6;0;4;0;8;0;4;5
1000010;1A;0;0;2;1;7;1;4;5;2;1;2;3
1000011;1A;2;0;3;3;6;0;10;5;9;4;0;2
1000012;1A;2;1;3;1;5;0;6;5;10;1;2;0
1000013;1A;0;1;0;4;7;0;3;3;1;3;5;3
1000014;1A;1;0;4;2;4;1;0;0;7;4;4;1
