Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;10;7;1;5;7;3
1000001;1A;0;4;1;3;4;2
1000002;1A;4;3;1;0;4;3
1000003;1A;6;6;0;4;7;0
1000004;1A;10;5;1;3;4;2
1000005;1A;7;4;0;1;3;3
1000006;1A;2;6;0;0;5;3
1000007;1A;1;4;1;0;3;0
1000008;1A;3;4;1;0;5;2
1000009;1A;10;3;1;1;6;2
1000010;1A;2;1;1;2;5;0
1000011;1A;2;0;1;4;3;0
1000012;1A;8;6;0;3;6;0
1000013;1A;8;2;0;4;2;1
1000014;1A;4;7;0;1;3;2
1000015;1A;7;2;0;3;5;0
1000016;1A;6;4;1;5;7;1
1000017;1A;8;1;0;5;4;1
1000018;1A;8;6;0;5;6;1
1000019;1A;5;4;1;5;7;1
1000020;1A;4;5;0;3;6;3
1000021;1A;3;3;0;1;2;2
1000022;1A;0;3;1;2;5;1
1000023;1A;8;6;1;5;7;0
1000024;1A;8;1;0;2;7;0
1000025;1A;4;2;1;2;1;2
1000026;1A;6;0;0;0;7;1
1000027;1A;7;4;1;0;5;1
1000028;1A;2;5;1;4;5;1
1000029;1A;7;2;1;5;5;1
1000030;1A;10;6;0;4;1;2
1000031;1A;1;1;0;3;3;0
1000032;1A;5;4;1;4;6;1
1000033;1A;3;1;1;1;5;3
1000034;1A;5;1;1;5;4;1
1000035;1A;5;3;0;1;0;1
1000036;1A;7;7;0;3;2;3
1000037;1A;5;6;1;4;2;0
1000038;1A;10;7;0;2;5;0
