Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;9;6;8;1;2;9
1000001;1A;7;2;3;0;2;5
1000002;1A;4;4;1;1;0;6
1000003;1A;5;2;8;1;2;4
1000004;1A;8;3;1;1;1;4
1000005;1A;2;3;3;1;2;8
1000006;1A;6;2;4;1;1;1
1000007;1A;0;0;3;0;1;7
1000008;1A;2;5;1;0;0;0
1000009;1A;1;3;0;0;0;3
1000010;1A;8;6;7;1;1;9
1000011;1A;8;2;0;1;0;9
1000012;1A;3;1;4;1;0;8
1000013;1A;1;2;3;1;0;1
1000014;1A;3;2;8;0;2;5
1000015;1A;0;4;1;1;1;1
1000016;1A;5;3;0;0;2;6
1000017;1A;0;1;4;0;0;8
1000018;1A;9;4;0;0;1;0
1000019;1A;2;1;6;1;0;1
1000020;1A;0;4;6;0;1;3
1000021;1A;7;2;7;1;1;3
1000022;1A;6;4;2;1;2;6
1000023;1A;6;0;0;0;0;9
1000024;1A;1;6;4;1;2;3
1000025;1A;4;3;4;1;2;2
1000026;1A;6;2;4;0;0;0
1000027;1A;5;0;7;1;0;3
1000028;1A;5;5;8;1;0;6
1000029;1A;4;6;0;0;0;3
1000030;1A;0;0;7;0;0;8
1000031;1A;2;1;6;1;1;7
1000032;1A;4;4;8;1;0;9
1000033;1A;8;2;1;0;2;5
1000034;1A;8;3;7;0;0;9
1000035;1A;6;0;7;0;0;7
1000036;1A;8;5;1;0;0;0
1000037;1A;8;3;4;1;2;6
1000038;1A;5;3;7;0;0;4
1000039;1A;0;5;6;0;2;1
1000040;1A;3;3;0;0;0;1
1000041;1A;1;3;8;1;2;8
1000042;1A;3;5;6;0;2;5
1000043;1A;2;0;7;1;0;7
1000044;1A;5;2;3;0;0;7
1000045;1A;4;5;0;0;1;1
1000046;1A;9;4;2;0;2;1
1000047;1A;0;0;8;0;2;0
1000048;1A;7;2;6;1;2;6
